_id	_cws.heet.foc10.nav.weight.bound	_count.heet.foc10.nav.weight.bound	_cws.heet.foc10.nav.selection.bound	_count.heet.foc10.nav.selection.bound	_cws.heet.foc10.nav.no.bound	_count.heet.foc10.nav.no.bound	_cws.heet.foc10.all.weight.bound	_count.heet.foc10.all.weight.bound	_cws.heet.foc10.all.selection.bound	_count.heet.foc10.all.selection.bound	_cws.heet.foc10.all.no.bound	_count.heet.foc10.all.no.bound	_cws.heet.foc5.nav.weight.bound	_count.heet.foc5.nav.weight.bound	_cws.heet.foc5.nav.selection.bound	_count.heet.foc5.nav.selection.bound	_cws.heet.foc5.nav.no.bound	_count.heet.foc5.nav.no.bound	_cws.heet.foc5.all.weight.bound	_count.heet.foc5.all.weight.bound	_cws.heet.foc5.all.selection.bound	_count.heet.foc5.all.selection.bound	_cws.heet.foc5.all.no.bound	_count.heet.foc5.all.no.bound
heet/adj/nrc_handelsblad_20000127_102/240	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5	dat/pron;gans/adj;hem/pron;het/det;van/prep;verlangen/noun;vervul/verb	7	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;verlangen/noun;vervul/verb	3	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5	gans/adj;hem/pron;het/det;verlangen/noun;vervul/verb	5	dat/pron;gans/adj;hem/pron;het/det;van/prep;verlangen/noun;vervul/verb	7
heet/adj/nrc_handelsblad_20020831_99/100	hang_ijzer/noun;koningshuis/noun;seks/noun	3	hang_ijzer/noun;koningshuis/noun;seks/noun	3	ander/adj;god/noun;hang_ijzer/noun;heb/verb;jaar/noun;koningshuis/noun;laat/adj;reageer/verb;seks/noun	9	de/det;hang_ijzer/noun;koningshuis/noun;op/prep;seks/noun	5	de/det;hang_ijzer/noun;koningshuis/noun;op/prep;seks/noun	5	ander/adj;de/det;god/noun;hang_ijzer/noun;heb/verb;jaar/noun;koningshuis/noun;laat/adj;op/prep;reageer/verb;seks/noun;van/prep	12	hang_ijzer/noun;koningshuis/noun;seks/noun	3	hang_ijzer/noun;koningshuis/noun;seks/noun	3	ander/adj;hang_ijzer/noun;koningshuis/noun;laat/adj;seks/noun	5	de/det;hang_ijzer/noun;koningshuis/noun;seks/noun	4	de/det;hang_ijzer/noun;koningshuis/noun;seks/noun	4	ander/adj;de/det;hang_ijzer/noun;koningshuis/noun;laat/adj;seks/noun;van/prep	7
heet/adj/nrc_handelsblad_20030804_45/275	Venetiaans/adj;duizenden/noun;middag/noun;vers/noun;zomer/noun	5	Venetiaans/adj;duizenden/noun;middag/noun;vers/noun;zomer/noun	5	Venetiaans/adj;duizenden/noun;middag/noun;roep_op/verb;vers/noun;vrij/adj;zomer/noun	7	Venetiaans/adj;af/part;de/det;duizenden/noun;in/prep;middag/noun;op/part;vers/noun;zomer/noun	9	Venetiaans/adj;af/part;de/det;duizenden/noun;in/prep;middag/noun;op/part;vers/noun;zomer/noun	9	Venetiaans/adj;af/part;de/det;duizenden/noun;hun/det;in/prep;middag/noun;op/part;roep_op/verb;vers/noun;vrij/adj;zomer/noun	12	Venetiaans/adj;vers/noun;zomer/noun	3	Venetiaans/adj;vers/noun;zomer/noun	3	Venetiaans/adj;roep_op/verb;vers/noun;vrij/adj;zomer/noun	5	Venetiaans/adj;de/det;in/prep;op/part;vers/noun;zomer/noun	6	Venetiaans/adj;de/det;in/prep;op/part;vers/noun;zomer/noun	6	Venetiaans/adj;de/det;in/prep;op/part;roep_op/verb;vers/noun;vrij/adj;zomer/noun	8
heet/adj/nrc_handelsblad_20001028_152/636	ben/verb;groen/adj;industrieterrein/noun	3	ben/verb;groen/adj;industrieterrein/noun	3	ben/verb;enorm/adj;groen/adj;industrieterrein/noun;natuur/noun;veel/adj;wat/noun	7	ben/verb;een/det;groen/adj;industrieterrein/noun;niet/adv	5	ben/verb;een/det;groen/adj;industrieterrein/noun;niet/adv	5	ben/verb;een/det;enorm/adj;groen/adj;industrieterrein/noun;meer/det;natuur/noun;niet/adv;nu/adv;reeds/adv;veel/adj;wat/noun	12	ben/verb	1	ben/verb	1	ben/verb;natuur/noun;veel/adj;wat/noun	4	ben/verb;niet/adv	2	ben/verb;niet/adv	2	ben/verb;meer/det;natuur/noun;niet/adv;veel/adj;wat/noun	6
heet/adj/nrc_handelsblad_20001020_146/182	gevolg/noun;snel/adj;voet/noun;word/verb	4	gevolg/noun;snel/adj;voet/noun;word/verb	4	ben_weg/verb;gevolg/noun;mogelijk/adj;snel/adj;voet/noun;word/verb	6	de/det;gevolg/noun;het/det;onder/prep;snel/adj;te/adv;voet/noun;word/verb;zo/adv	9	de/det;gevolg/noun;het/det;onder/prep;snel/adj;te/adv;voet/noun;word/verb;zo/adv	9	ben_weg/verb;de/det;gevolg/noun;het/det;mogelijk/adj;onder/prep;ongeacht/prep;snel/adj;te/adv;voet/noun;voor/prep;word/verb;zo/adv	13	voet/noun;word/verb	2	voet/noun;word/verb	2	ben_weg/verb;mogelijk/adj;voet/noun;word/verb	4	het/det;onder/prep;te/adv;voet/noun;word/verb	5	het/det;onder/prep;te/adv;voet/noun;word/verb	5	ben_weg/verb;het/det;mogelijk/adj;onder/prep;te/adv;voet/noun;word/verb	7
heet/adj/nrc_handelsblad_20010921_21/507	ben/verb;brandweer/noun;zomer/noun	3	ben/verb;brandweer/noun;zomer/noun	3	ben/verb;brandweer/noun;heb/verb;zomer/noun	4	ben/verb;brandweer/noun;de/det;het/det;in/prep;zomer/noun	6	ben/verb;brandweer/noun;de/det;het/det;in/prep;zomer/noun	6	ben/verb;brandweer/noun;de/det;heb/verb;het/det;in/prep;zomer/noun	7	ben/verb;zomer/noun	2	ben/verb;zomer/noun	2	ben/verb;zomer/noun	2	ben/verb;het/det;in/prep;zomer/noun	4	ben/verb;het/det;in/prep;zomer/noun	4	ben/verb;het/det;in/prep;zomer/noun	4
heet/adj/nrc_handelsblad_20010718_12/314	dag/noun;flank/noun;hang/verb;lang/adj;slot/noun	5	dag/noun;flank/noun;hang/verb;lang/adj;slot/noun	5	dag/noun;flank/noun;hang/verb;lang/adj;slot/noun	5	dag/noun;dan/adv;de/det;door/prep;een/det;flank/noun;hang/verb;het/det;lang/adj;slot/noun	10	dag/noun;dan/adv;de/det;door/prep;een/det;flank/noun;hang/verb;het/det;lang/adj;slot/noun	10	aan/prep;dag/noun;dan/adv;de/det;door/prep;een/det;flank/noun;hang/verb;het/det;ik/pron;lang/adj;ook/adv;slot/noun;tegen/prep;van/prep	15	dag/noun;hang/verb;lang/adj;slot/noun	4	dag/noun;hang/verb;lang/adj;slot/noun	4	dag/noun;hang/verb;lang/adj;slot/noun	4	dag/noun;door/prep;een/det;hang/verb;lang/adj;slot/noun	6	dag/noun;door/prep;een/det;hang/verb;lang/adj;slot/noun	6	dag/noun;door/prep;een/det;hang/verb;lang/adj;slot/noun	6
heet/adj/nrc_handelsblad_19991120_9/62	bak/noun;ben/verb;drukkend/adj;regen/noun;weersomstandigheden/noun;zit/verb	6	bak/noun;ben/verb;drukkend/adj;regen/noun;weersomstandigheden/noun;zit/verb	6	bak/noun;ben/verb;drukkend/adj;het/noun;kom/verb;regen/noun;weersomstandigheden/noun;zit/verb	8	bak/noun;ben/verb;beneden/adv;de/det;drukkend/adj;onder/prep;regen/noun;weersomstandigheden/noun;zit/verb	9	bak/noun;ben/verb;beneden/adv;de/det;drukkend/adj;onder/prep;regen/noun;weersomstandigheden/noun;zit/verb	9	alle/det;bak/noun;ben/verb;beneden/adv;bij/prep;de/det;drukkend/adj;er/adv;het/noun;kom/verb;naar/prep;nu/adv;onder/prep;regen/noun;weersomstandigheden/noun;zit/verb	16	ben/verb;drukkend/adj;regen/noun	3	ben/verb;drukkend/adj;regen/noun	3	ben/verb;drukkend/adj;het/noun;regen/noun	4	ben/verb;de/det;drukkend/adj;regen/noun	4	ben/verb;de/det;drukkend/adj;regen/noun	4	ben/verb;bij/prep;de/det;drukkend/adj;het/noun;nu/adv;regen/noun	7
heet/adj/nrc_handelsblad_20000919_115/2007	ben/verb;coalitiepartner/noun;hang_ijzer/noun;lig/verb	4	ben/verb;coalitiepartner/noun;hang_ijzer/noun;lig/verb	4	ben/verb;blijk/verb;coalitiepartner/noun;hang_ijzer/noun;lig/verb	5	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun;lig/verb	5	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun;lig/verb	5	ben/verb;bij/prep;blijk/verb;coalitiepartner/noun;dat/pron;een/det;hang_ijzer/noun;lig/verb	8	ben/verb;coalitiepartner/noun;hang_ijzer/noun	3	ben/verb;coalitiepartner/noun;hang_ijzer/noun	3	ben/verb;coalitiepartner/noun;hang_ijzer/noun	3	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun	4	ben/verb;coalitiepartner/noun;een/det;hang_ijzer/noun	4	ben/verb;bij/prep;coalitiepartner/noun;dat/pron;een/det;hang_ijzer/noun	6
heet/adj/nrc_handelsblad_20010615_7/939	dom/adj;hoe/adj;word/verb	3	dom/adj;hoe/adj;word/verb	3	boek/noun;dom/adj;hoe/adj;kan/verb;kom_door/verb;word/verb	6	dom/adj;door/part;door/prep;hoe/adj;nooit/adv;word/verb	6	dom/adj;door/part;door/prep;hoe/adj;nooit/adv;word/verb	6	boek/noun;dat/det;dom/adj;door/part;door/prep;hoe/adj;kan/verb;kom_door/verb;nooit/adv;ook/adv;word/verb	11	dom/adj;hoe/adj	2	dom/adj;hoe/adj	2	boek/noun;dom/adj;hoe/adj;kan/verb;kom_door/verb	5	dom/adj;door/part;hoe/adj;nooit/adv	4	dom/adj;door/part;hoe/adj;nooit/adv	4	boek/noun;dat/det;dom/adj;door/part;hoe/adj;kan/verb;kom_door/verb;nooit/adv;ook/adv	9
