_model	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
heet.foc10.nav.weight.bound.min1.soc4.nav.5000	bound	609	nav	10_10	1	weight	5000	5000	nav	4_4	351	heet	0.21878584308064017
heet.foc10.nav.weight.bound.min1.soc4.nav.10000	bound	609	nav	10_10	1	weight	10000	10000	nav	4_4	351	heet	0.21223394229786038
heet.foc10.nav.weight.bound.min1.soc4.nav.FOC	bound	609	nav	10_10	1	weight	FOC	609	nav	4_4	351	heet	0.22805812775048723
heet.foc10.nav.weight.bound.min1.soc10.nav.5000	bound	609	nav	10_10	1	weight	5000	5000	nav	10_10	351	heet	0.22490381143534946
heet.foc10.nav.weight.bound.min1.soc10.nav.10000	bound	609	nav	10_10	1	weight	10000	10000	nav	10_10	351	heet	0.20818841582670491
heet.foc10.nav.weight.bound.min1.soc10.nav.FOC	bound	609	nav	10_10	1	weight	FOC	609	nav	10_10	351	heet	0.2130802650401798
heet.foc10.nav.weight.bound.min1.soc4.all.5000	bound	609	nav	10_10	1	weight	5000	5000	all	4_4	351	heet	0.22723740811618737
heet.foc10.nav.weight.bound.min1.soc4.all.10000	bound	609	nav	10_10	1	weight	10000	10000	all	4_4	351	heet	0.2165270053323808
heet.foc10.nav.weight.bound.min1.soc4.all.FOC	bound	609	nav	10_10	1	weight	FOC	609	all	4_4	351	heet	0.22805812775048723
heet.foc10.nav.weight.bound.min1.soc10.all.5000	bound	609	nav	10_10	1	weight	5000	5000	all	10_10	351	heet	0.22379751885347648
heet.foc10.nav.weight.bound.min1.soc10.all.10000	bound	609	nav	10_10	1	weight	10000	10000	all	10_10	351	heet	0.21707531639665037
heet.foc10.nav.weight.bound.min1.soc10.all.FOC	bound	609	nav	10_10	1	weight	FOC	609	all	10_10	351	heet	0.2130802650401798
heet.foc10.nav.selection.bound.min1.soc4.nav.5000	bound	609	nav	10_10	1	selection	5000	5000	nav	4_4	351	heet	0.2377161724074904
heet.foc10.nav.selection.bound.min1.soc4.nav.10000	bound	609	nav	10_10	1	selection	10000	10000	nav	4_4	351	heet	0.23762156337557205
heet.foc10.nav.selection.bound.min1.soc4.nav.FOC	bound	609	nav	10_10	1	selection	FOC	609	nav	4_4	351	heet	0.24085084003923815
heet.foc10.nav.selection.bound.min1.soc10.nav.5000	bound	609	nav	10_10	1	selection	5000	5000	nav	10_10	351	heet	0.23403529708938406
heet.foc10.nav.selection.bound.min1.soc10.nav.10000	bound	609	nav	10_10	1	selection	10000	10000	nav	10_10	351	heet	0.2341782047268905
heet.foc10.nav.selection.bound.min1.soc10.nav.FOC	bound	609	nav	10_10	1	selection	FOC	609	nav	10_10	351	heet	0.22848451306561354
heet.foc10.nav.selection.bound.min1.soc4.all.5000	bound	609	nav	10_10	1	selection	5000	5000	all	4_4	351	heet	0.23386518810687865
heet.foc10.nav.selection.bound.min1.soc4.all.10000	bound	609	nav	10_10	1	selection	10000	10000	all	4_4	351	heet	0.23257119377451657
heet.foc10.nav.selection.bound.min1.soc4.all.FOC	bound	609	nav	10_10	1	selection	FOC	609	all	4_4	351	heet	0.24085084003923815
heet.foc10.nav.selection.bound.min1.soc10.all.5000	bound	609	nav	10_10	1	selection	5000	5000	all	10_10	351	heet	0.2323793053076549
heet.foc10.nav.selection.bound.min1.soc10.all.10000	bound	609	nav	10_10	1	selection	10000	10000	all	10_10	351	heet	0.2298981479272572
