_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.05316467500600922	-0.0032284469069044446	NA	NA	bound	366	lex	10_10	1	weight	5000	5000	nav	4_4	217	heffen	0.15177845978844348	BOW
heffen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.12703412768286587	-0.0014744274395402557	NA	NA	bound	366	lex	10_10	1	weight	5000	5000	all	4_4	217	heffen	0.20044358152517963	BOW
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06488908749201397	-0.0019353605202350732	NA	NA	bound	366	lex	10_10	1	weight	FOC	253	nav	4_4	217	heffen	0.12819530608938917	BOW
heffen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.04706154596100115	-0.003205796556785902	NA	NA	bound	366	lex	10_10	1	weight	FOC	366	all	4_4	217	heffen	0.13393546613523305	BOW
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.03890899873061617	3.872547216514659e-4	NA	NA	bound	366	lex	10_10	1	selection	5000	5000	nav	4_4	217	heffen	0.18635895773218694	BOW
heffen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.19983318374061876	0.012606086674026446	NA	NA	bound	366	lex	10_10	1	selection	5000	5000	all	4_4	217	heffen	0.22507375214064465	BOW
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0651751338786776	0.004093139019248693	NA	NA	bound	366	lex	10_10	1	selection	FOC	253	nav	4_4	217	heffen	0.1453535784168407	BOW
heffen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.04484485071342561	0.003486521938084593	NA	NA	bound	366	lex	10_10	1	selection	FOC	366	all	4_4	217	heffen	0.15555893864221315	BOW
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.13399843310015053	0.01801703134495697	NA	NA	bound	718	lex	10_10	1	no	5000	5000	nav	4_4	218	heffen	0.191044259895041	BOW
heffen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.364577947708923	0.0769717640539961	NA	NA	bound	718	lex	10_10	1	no	5000	5000	all	4_4	218	heffen	0.21628059954509832	BOW
heffen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.09882428118176514	0.020503218908393184	NA	NA	bound	718	lex	10_10	1	no	FOC	502	nav	4_4	218	heffen	0.17157747509850757	BOW
heffen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.08993573779510348	0.024069439706599367	NA	NA	bound	718	lex	10_10	1	no	FOC	718	all	4_4	218	heffen	0.17610477749404047	BOW
heffen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.05164393626668864	0.00376093572773355	NA	NA	bound	475	all	10_10	1	weight	5000	5000	nav	4_4	218	heffen	0.1535796372218841	BOW
heffen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	0.13342267669570895	0.018037979933619882	NA	NA	bound	475	all	10_10	1	weight	5000	5000	all	4_4	218	heffen	0.198750685317666	BOW
heffen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06421797100824915	0.005511484381185687	NA	NA	bound	475	all	10_10	1	weight	FOC	253	nav	4_4	218	heffen	0.1334125093722332	BOW
heffen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.0494186492948148	0.00515974019569831	NA	NA	bound	475	all	10_10	1	weight	FOC	475	all	4_4	218	heffen	0.1458377125028461	BOW
heffen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.16669769102080653	0.0836030039829166	NA	NA	bound	475	all	10_10	1	selection	5000	5000	nav	4_4	218	heffen	0.20991679054235185	BOW
heffen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	0.2108438520471686	0.0689173446926418	NA	NA	bound	475	all	10_10	1	selection	5000	5000	all	4_4	218	heffen	0.22733903618241463	BOW
heffen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0912067964638599	0.0254651516543907	NA	NA	bound	475	all	10_10	1	selection	FOC	253	nav	4_4	218	heffen	0.14913751454716617	BOW
heffen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.07713315743590642	0.02695239528272543	NA	NA	bound	475	all	10_10	1	selection	FOC	475	all	4_4	218	heffen	0.16223054583849483	BOW
heffen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.21899719559376582	0.07712514486724195	NA	NA	bound	960	all	10_10	1	no	5000	5000	nav	4_4	218	heffen	0.20439160778219892	BOW
heffen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	0.45065981951701045	0.15944825000627494	NA	NA	bound	960	all	10_10	1	no	5000	5000	all	4_4	218	heffen	0.22526106071832466	BOW
heffen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.1437307371995848	0.04642026324653989	NA	NA	bound	960	all	10_10	1	no	FOC	502	nav	4_4	218	heffen	0.17377750116904642	BOW
heffen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.15695058536361706	0.06115408380595953	NA	NA	bound	960	all	10_10	1	no	FOC	960	all	4_4	218	heffen	0.18274980014323794	BOW
heffen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.05113986256829057	-0.042391243466199116	NA	NA	bound	279	lex	5_5	1	weight	5000	5000	nav	4_4	216	heffen	0.16373338738058416	BOW
heffen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	0.15474737100793687	-0.08858237272800312	NA	NA	bound	279	lex	5_5	1	weight	5000	5000	all	4_4	216	heffen	0.2142227483527797	BOW
heffen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06115055649035424	-0.03544002401038843	NA	NA	bound	279	lex	5_5	1	weight	FOC	194	nav	4_4	216	heffen	0.15221940413448468	BOW
heffen.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.04483057008923459	-0.03678432547342029	NA	NA	bound	279	lex	5_5	1	weight	FOC	279	all	4_4	216	heffen	0.15361513414985306	BOW
heffen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.01718311013565093	-0.05322529704826329	NA	NA	bound	279	lex	5_5	1	selection	5000	5000	nav	4_4	216	heffen	0.18829165407602722	BOW
heffen.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	0.2118972169587845	-0.08329427670537468	NA	NA	bound	279	lex	5_5	1	selection	5000	5000	all	4_4	216	heffen	0.23056604366270328	BOW
heffen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.04828967011721462	-0.02802326872239551	NA	NA	bound	279	lex	5_5	1	selection	FOC	194	nav	4_4	216	heffen	0.16184032483837518	BOW
heffen.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.03521633583532098	-0.028568354669724533	NA	NA	bound	279	lex	5_5	1	selection	FOC	279	all	4_4	216	heffen	0.167844193918658	BOW
heffen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.028137114619821487	-0.04074880528900712	NA	NA	bound	433	lex	5_5	1	no	5000	5000	nav	4_4	218	heffen	0.20727828737081108	BOW
heffen.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	0.2583998958197657	-0.05854038323478566	NA	NA	bound	433	lex	5_5	1	no	5000	5000	all	4_4	218	heffen	0.2283321334968242	BOW
heffen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.049246543755131586	-0.02298224308790474	NA	NA	bound	433	lex	5_5	1	no	FOC	315	nav	4_4	218	heffen	0.18911095200033595	BOW
heffen.BOWbound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.0360774222762511	-0.021725936651329207	NA	NA	bound	433	lex	5_5	1	no	FOC	433	all	4_4	218	heffen	0.19531569054412617	BOW
heffen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.04275773921068493	-0.031076581454873853	NA	NA	bound	361	all	5_5	1	weight	5000	5000	nav	4_4	217	heffen	0.16791300509291854	BOW
heffen.BOWbound5all.PPMIweight.LENGTH5000.SOCPOSall	0.146116376368251	-0.04261983628354591	NA	NA	bound	361	all	5_5	1	weight	5000	5000	all	4_4	217	heffen	0.20553083986219778	BOW
heffen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06031875172056658	-0.025468643422474842	NA	NA	bound	361	all	5_5	1	weight	FOC	194	nav	4_4	217	heffen	0.14246460197370442	BOW
heffen.BOWbound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.050805455770329806	-0.02362893064015299	NA	NA	bound	361	all	5_5	1	weight	FOC	361	all	4_4	217	heffen	0.15362704826643456	BOW
