_id	_cws.heilzaam.foc10.nav.weight.bound	_count.heilzaam.foc10.nav.weight.bound	_cws.heilzaam.foc10.nav.selection.bound	_count.heilzaam.foc10.nav.selection.bound	_cws.heilzaam.foc10.nav.no.bound	_count.heilzaam.foc10.nav.no.bound	_cws.heilzaam.foc10.all.weight.bound	_count.heilzaam.foc10.all.weight.bound	_cws.heilzaam.foc10.all.selection.bound	_count.heilzaam.foc10.all.selection.bound	_cws.heilzaam.foc10.all.no.bound	_count.heilzaam.foc10.all.no.bound	_cws.heilzaam.foc5.nav.weight.bound	_count.heilzaam.foc5.nav.weight.bound	_cws.heilzaam.foc5.nav.selection.bound	_count.heilzaam.foc5.nav.selection.bound	_cws.heilzaam.foc5.nav.no.bound	_count.heilzaam.foc5.nav.no.bound	_cws.heilzaam.foc5.all.weight.bound	_count.heilzaam.foc5.all.weight.bound	_cws.heilzaam.foc5.all.selection.bound	_count.heilzaam.foc5.all.selection.bound	_cws.heilzaam.foc5.all.no.bound	_count.heilzaam.foc5.all.no.bound
heilzaam/adj/nrc_handelsblad_20011116_30/584	adagium/noun;aloud/adj;ben/verb;gewoon/adj;kan/verb;recessie/noun;zit_uit/verb	7	adagium/noun;aloud/adj;ben/verb;gewoon/adj;kan/verb;recessie/noun;zit_uit/verb	7	adagium/noun;aloud/adj;ben/verb;gewoon/adj;kan/verb;moet/verb;recessie/noun;zit_uit/verb	8	adagium/noun;aloud/adj;ben/verb;die/pron;een/det;gewoon/adj;het/det;kan/verb;men/pron;ook/adv;recessie/noun;zit_uit/verb	12	adagium/noun;aloud/adj;ben/verb;die/pron;een/det;gewoon/adj;het/det;kan/verb;men/pron;ook/adv;recessie/noun;zit_uit/verb	12	adagium/noun;aloud/adj;ben/verb;die/pron;een/det;gewoon/adj;het/det;kan/verb;men/pron;moet/verb;ook/adv;recessie/noun;zit_uit/verb	13	ben/verb;gewoon/adj;kan/verb;recessie/noun	4	ben/verb;gewoon/adj;kan/verb;recessie/noun	4	ben/verb;gewoon/adj;kan/verb;moet/verb;recessie/noun	5	ben/verb;die/pron;een/det;gewoon/adj;kan/verb;ook/adv;recessie/noun	7	ben/verb;die/pron;een/det;gewoon/adj;kan/verb;ook/adv;recessie/noun	7	ben/verb;die/pron;een/det;gewoon/adj;kan/verb;moet/verb;ook/adv;recessie/noun	8
heilzaam/adj/nrc_handelsblad_19991030_63/155	cyclus/noun;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;vernieuwing/noun	10	cyclus/noun;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;vernieuwing/noun	10	cyclus/noun;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;vernieuwing/noun	10	cyclus/noun;de/det;een/det;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;van/prep;vernieuwing/noun	13	cyclus/noun;de/det;een/det;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;van/prep;vernieuwing/noun	13	cyclus/noun;de/det;een/det;ga_samen/verb;groei/noun;heb/verb;leid/verb;productiviteit/noun;stel/verb;sterk/adj;technologisch/adj;tot/prep;van/prep;vernieuwing/noun	14	cyclus/noun;heb/verb;leid/verb;sterk/adj	4	cyclus/noun;heb/verb;leid/verb;sterk/adj	4	cyclus/noun;heb/verb;leid/verb;sterk/adj	4	cyclus/noun;een/det;heb/verb;leid/verb;sterk/adj	5	cyclus/noun;een/det;heb/verb;leid/verb;sterk/adj	5	cyclus/noun;een/det;heb/verb;leid/verb;sterk/adj;tot/prep	6
heilzaam/adj/nrc_handelsblad_20000701_38/883	kan/verb;partij/noun;pretendeer/verb;werk/verb;zal/verb	5	kan/verb;partij/noun;pretendeer/verb;werk/verb;zal/verb	5	kan/verb;partij/noun;pretendeer/verb;werk/verb;zal/verb	5	de/det;die/pron;een/det;kan/verb;ook/adv;partij/noun;pretendeer/verb;van/prep;voor/prep;werk/verb;zal/verb	11	de/det;die/pron;een/det;kan/verb;ook/adv;partij/noun;pretendeer/verb;van/prep;voor/prep;werk/verb;zal/verb	11	de/det;die/pron;een/det;kan/verb;ook/adv;partij/noun;pretendeer/verb;van/prep;voor/prep;werk/verb;zal/verb;zij/pron	12	kan/verb;werk/verb;zal/verb	3	kan/verb;werk/verb;zal/verb	3	kan/verb;werk/verb;zal/verb	3	de/det;kan/verb;ook/adv;voor/prep;werk/verb;zal/verb	6	de/det;kan/verb;ook/adv;voor/prep;werk/verb;zal/verb	6	de/det;kan/verb;ook/adv;voor/prep;werk/verb;zal/verb;zij/pron	7
heilzaam/adj/nrc_handelsblad_20010426_61/409	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;termijn/noun;vraag/noun	6	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;termijn/noun;vraag/noun	6	ben/verb;bescherming/noun;effect/noun;groot/adj;onbeantwoord/adj;termijn/noun;vraag/noun	7	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;op/prep;tegen/prep;termijn/noun;van/prep;vraag/noun	10	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;op/prep;tegen/prep;termijn/noun;van/prep;vraag/noun	10	ben/verb;bescherming/noun;de/det;effect/noun;groot/adj;nog/adv;onbeantwoord/adj;op/prep;tegen/prep;termijn/noun;van/prep;vraag/noun	12	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;vraag/noun	5	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;vraag/noun	5	ben/verb;bescherming/noun;effect/noun;onbeantwoord/adj;vraag/noun	5	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;van/prep;vraag/noun	7	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;van/prep;vraag/noun	7	ben/verb;bescherming/noun;de/det;effect/noun;onbeantwoord/adj;van/prep;vraag/noun	7
heilzaam/adj/nrc_handelsblad_20010123_5/480	geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	4	geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	4	geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj;werkelijkheid/noun	5	de/det;geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	5	de/det;geprojecteerd/adj;mythe/noun;schijn/noun;verzonnen/adj	5	de/det;geprojecteerd/adj;in/prep;mythe/noun;schijn/noun;verzonnen/adj;werkelijkheid/noun;zelf/adv	8	schijn/noun	1	schijn/noun	1	schijn/noun;werkelijkheid/noun	2	de/det;schijn/noun	2	de/det;schijn/noun	2	de/det;schijn/noun;werkelijkheid/noun;zelf/adv	4
heilzaam/adj/nrc_handelsblad_20031013_102/42	boodschap/noun;heb/verb;positief/adj;werking/noun	4	boodschap/noun;heb/verb;positief/adj;werking/noun	4	boodschap/noun;duidelijk/adj;heb/verb;positief/adj;werking/noun	5	boodschap/noun;die/det;een/det;heb/verb;op/prep;positief/adj;werking/noun	7	boodschap/noun;die/det;een/det;heb/verb;op/prep;positief/adj;werking/noun	7	boodschap/noun;die/det;duidelijk/adj;een/det;heb/verb;op/prep;positief/adj;werking/noun	8	boodschap/noun;positief/adj;werking/noun	3	boodschap/noun;positief/adj;werking/noun	3	boodschap/noun;duidelijk/adj;positief/adj;werking/noun	4	boodschap/noun;die/det;een/det;positief/adj;werking/noun	5	boodschap/noun;die/det;een/det;positief/adj;werking/noun	5	boodschap/noun;die/det;duidelijk/adj;een/det;positief/adj;werking/noun	6
heilzaam/adj/nrc_handelsblad_20001216_24/400	blijk/verb	1	blijk/verb	1	blijk/verb;donderdag/noun;eerst/adj;eind/noun;euro/noun;het/adj;voor/adj	7	blijk/verb;dat/det;de/det;die/pron;voor/prep;zeer/adv	6	blijk/verb;dat/det;de/det;die/pron;voor/prep;zeer/adv	6	blijk/verb;dat/det;de/det;die/pron;donderdag/noun;eerst/adj;eind/noun;euro/noun;gisteren/adv;het/adj;sinds/prep;voor/adj;voor/prep;zeer/adv	14	blijk/verb	1	blijk/verb	1	blijk/verb;donderdag/noun;euro/noun	3	blijk/verb;de/det;die/pron;voor/prep;zeer/adv	5	blijk/verb;de/det;die/pron;voor/prep;zeer/adv	5	blijk/verb;de/det;die/pron;donderdag/noun;euro/noun;gisteren/adv;voor/prep;zeer/adv	8
heilzaam/adj/nrc_handelsblad_19991006_128/792	coffeeshop/noun;niets/noun	2	coffeeshop/noun;niets/noun	2	begrijp/verb;buitenland/noun;coffeeshop/noun;niets/noun;word/verb	5	bijvoorbeeld/adv;coffeeshop/noun;de/det;het/det;intussen/adv;niet/adv;niets/noun;van/prep	8	bijvoorbeeld/adv;coffeeshop/noun;de/det;het/det;intussen/adv;niet/adv;niets/noun;van/prep	8	begrijp/verb;bijvoorbeeld/adv;buitenland/noun;coffeeshop/noun;de/det;het/det;in/prep;intussen/adv;niet/adv;niets/noun;ons/det;van/prep;word/verb	13	coffeeshop/noun	1	coffeeshop/noun	1	coffeeshop/noun	1	coffeeshop/noun;de/det;het/det;niet/adv	4	coffeeshop/noun;de/det;het/det;niet/adv	4	coffeeshop/noun;de/det;het/det;in/prep;niet/adv	5
heilzaam/adj/nrc_handelsblad_20000505_64/25	beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;gezond/adj;ongeëvenaard/adj;uiting/noun	7	beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;gezond/adj;ongeëvenaard/adj;uiting/noun	7	beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;gezond/adj;instelling/noun;ongeëvenaard/adj;uiting/noun	8	als/prep;beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;de/det;een/det;gezond/adj;ongeëvenaard/adj;op/prep;uiting/noun;van/prep	12	als/prep;beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;de/det;een/det;gezond/adj;ongeëvenaard/adj;op/prep;uiting/noun;van/prep	12	als/prep;beperkt/adj;blik/noun;correctie/noun;cosmopolitisch/adj;de/det;een/det;gezond/adj;instelling/noun;ongeëvenaard/adj;op/prep;uiting/noun;van/prep;zijn/det	14	correctie/noun;gezond/adj;ongeëvenaard/adj	3	correctie/noun;gezond/adj;ongeëvenaard/adj	3	correctie/noun;gezond/adj;ongeëvenaard/adj	3	als/prep;correctie/noun;een/det;gezond/adj;ongeëvenaard/adj	5	als/prep;correctie/noun;een/det;gezond/adj;ongeëvenaard/adj	5	als/prep;correctie/noun;een/det;gezond/adj;ongeëvenaard/adj;zijn/det	6
heilzaam/adj/nrc_handelsblad_20001111_39/181	ben/verb;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun	8	ben/verb;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun	8	ben/verb;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun	8	ben/verb;de/det;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun;van/prep;volgens/prep	11	ben/verb;de/det;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun;van/prep;volgens/prep	11	ben/verb;de/det;eenwording/noun;gestaald/adj;mondiaal/adj;onvermijdelijk/adj;propagandist/noun;sociaal-economisch/adj;structuur/noun;van/prep;volgens/prep;ze/pron	12	ben/verb;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun	6	ben/verb;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun	6	ben/verb;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun	6	ben/verb;de/det;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun;van/prep	8	ben/verb;de/det;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun;van/prep	8	ben/verb;de/det;eenwording/noun;mondiaal/adj;onvermijdelijk/adj;sociaal-economisch/adj;structuur/noun;van/prep;ze/pron	9
heilzaam/adj/nrc_handelsblad_20001223_40/1146	effect/noun;heb/verb;therapie/noun	3	effect/noun;heb/verb;therapie/noun	3	effect/noun;heb/verb;therapie/noun	3	alom/adv;effect/noun;heb/verb;therapie/noun;van/prep	5	alom/adv;effect/noun;heb/verb;therapie/noun;van/prep	5	alom/adv;effect/noun;heb/verb;therapie/noun;van/prep	5	effect/noun;heb/verb	2	effect/noun;heb/verb	2	effect/noun;heb/verb	2	alom/adv;effect/noun;heb/verb	3	alom/adv;effect/noun;heb/verb	3	alom/adv;effect/noun;heb/verb	3
heilzaam/adj/nrc_handelsblad_20031128_09/273	aangenaam/adj;heb/verb;kloek/adj;koppel/verb;medisch/adj;na_woord/noun;traktaat/noun;verzorg/verb	8	aangenaam/adj;heb/verb;kloek/adj;koppel/verb;medisch/adj;na_woord/noun;traktaat/noun;verzorg/verb	8	aangenaam/adj;functie/noun;heb/verb;kloek/adj;koppel/verb;medisch/adj;na_woord/noun;tijd/noun;traktaat/noun;verzorg/verb	10	aangenaam/adj;die/det;een/det;heb/verb;kloek/adj;koppel/verb;medisch/adj;na_woord/noun;traktaat/noun;verzorg/verb	10	aangenaam/adj;die/det;een/det;heb/verb;kloek/adj;koppel/verb;medisch/adj;na_woord/noun;traktaat/noun;verzorg/verb	10	aan/prep;aangenaam/adj;die/det;een/det;functie/noun;heb/verb;kloek/adj;koppel/verb;medisch/adj;na_woord/noun;tijd/noun;traktaat/noun;uit/prep;verzorg/verb	14	heb/verb;koppel/verb;medisch/adj;traktaat/noun;verzorg/verb	5	heb/verb;koppel/verb;medisch/adj;traktaat/noun;verzorg/verb	5	functie/noun;heb/verb;koppel/verb;medisch/adj;traktaat/noun;verzorg/verb	6	die/det;heb/verb;koppel/verb;medisch/adj;traktaat/noun;verzorg/verb	6	die/det;heb/verb;koppel/verb;medisch/adj;traktaat/noun;verzorg/verb	6	aan/prep;die/det;functie/noun;heb/verb;koppel/verb;medisch/adj;traktaat/noun;uit/prep;verzorg/verb	9
heilzaam/adj/nrc_handelsblad_20001117_7/665	geloof/verb;partij/noun;werking/noun	3	geloof/verb;partij/noun;werking/noun	3	geloof/verb;jaar/noun;partij/noun;werking/noun	4	alle/det;de/det;die/det;geloof/verb;het/det;partij/noun;van/prep;werking/noun	8	alle/det;de/det;die/det;geloof/verb;het/det;partij/noun;van/prep;werking/noun	8	alle/det;bijna/adv;de/det;die/det;geloof/verb;het/det;in/prep;jaar/noun;partij/noun;van/prep;werking/noun	11	werking/noun	1	werking/noun	1	jaar/noun;werking/noun	2	de/det;van/prep;werking/noun	3	de/det;van/prep;werking/noun	3	de/det;jaar/noun;van/prep;werking/noun	4
heilzaam/adj/nrc_handelsblad_20000502_91/102	ben/verb;geloof/noun;sommig/adj;werking/noun;zit/verb	5	ben/verb;geloof/noun;sommig/adj;werking/noun;zit/verb	5	Nederlands/adj;ben/verb;geloof/noun;sommig/adj;typisch/adj;werking/noun;zie/verb;zit/verb	8	ben/verb;de/det;geloof/noun;het/det;sommig/adj;thuis/adv;van/prep;werking/noun;zit/verb	9	ben/verb;de/det;geloof/noun;het/det;sommig/adj;thuis/adv;van/prep;werking/noun;zit/verb	9	Nederlands/adj;ben/verb;de/det;geloof/noun;het/det;in/prep;sommig/adj;thuis/adv;typisch/adj;van/prep;werking/noun;zie/verb;zit/verb	13	ben/verb;geloof/noun;werking/noun;zit/verb	4	ben/verb;geloof/noun;werking/noun;zit/verb	4	ben/verb;geloof/noun;werking/noun;zit/verb	4	ben/verb;de/det;geloof/noun;het/det;thuis/adv;van/prep;werking/noun;zit/verb	8	ben/verb;de/det;geloof/noun;het/det;thuis/adv;van/prep;werking/noun;zit/verb	8	ben/verb;de/det;geloof/noun;het/det;in/prep;thuis/adv;van/prep;werking/noun;zit/verb	9
heilzaam/adj/nrc_handelsblad_20020611_133/581	bedorven/adj;ben/verb;economisch/adj;klimaat/noun;overtuigd/adj;topman/noun;werking/noun	7	bedorven/adj;ben/verb;economisch/adj;klimaat/noun;overtuigd/adj;topman/noun;werking/noun	7	bedorven/adj;ben/verb;economisch/adj;klimaat/noun;overtuigd/adj;politiek/adj;proces/noun;topman/noun;werking/noun	9	bedorven/adj;ben/verb;de/det;economisch/adj;het/det;klimaat/noun;op/prep;overtuigd/adj;topman/noun;van/prep;werking/noun	11	bedorven/adj;ben/verb;de/det;economisch/adj;het/det;klimaat/noun;op/prep;overtuigd/adj;topman/noun;van/prep;werking/noun	11	bedorven/adj;ben/verb;de/det;economisch/adj;het/det;in/prep;klimaat/noun;op/prep;overtuigd/adj;politiek/adj;proces/noun;topman/noun;van/prep;werking/noun	14	ben/verb;economisch/adj;overtuigd/adj;werking/noun	4	ben/verb;economisch/adj;overtuigd/adj;werking/noun	4	ben/verb;economisch/adj;overtuigd/adj;proces/noun;werking/noun	5	ben/verb;de/det;economisch/adj;op/prep;overtuigd/adj;van/prep;werking/noun	7	ben/verb;de/det;economisch/adj;op/prep;overtuigd/adj;van/prep;werking/noun	7	ben/verb;de/det;economisch/adj;op/prep;overtuigd/adj;proces/noun;van/prep;werking/noun	8
heilzaam/adj/nrc_handelsblad_19990408_166/78	ben/verb;effect/noun;gewoon/adj;magisch/adj;museum_bezoek/noun;vaak/adj;voorwerp/noun	7	ben/verb;effect/noun;gewoon/adj;magisch/adj;museum_bezoek/noun;vaak/adj;voorwerp/noun	7	ben/verb;effect/noun;gewoon/adj;magisch/adj;museum_bezoek/noun;vaak/adj;voorwerp/noun	7	ben/verb;een/det;effect/noun;gewoon/adj;magisch/adj;museum_bezoek/noun;vaak/adj;van/prep;voorwerp/noun	9	ben/verb;een/det;effect/noun;gewoon/adj;magisch/adj;museum_bezoek/noun;vaak/adj;van/prep;voorwerp/noun	9	ben/verb;een/det;effect/noun;gewoon/adj;magisch/adj;museum_bezoek/noun;vaak/adj;van/prep;voorwerp/noun	9	ben/verb;effect/noun;magisch/adj;museum_bezoek/noun;vaak/adj	5	ben/verb;effect/noun;magisch/adj;museum_bezoek/noun;vaak/adj	5	ben/verb;effect/noun;magisch/adj;museum_bezoek/noun;vaak/adj	5	ben/verb;een/det;effect/noun;magisch/adj;museum_bezoek/noun;vaak/adj;van/prep	7	ben/verb;een/det;effect/noun;magisch/adj;museum_bezoek/noun;vaak/adj;van/prep	7	ben/verb;een/det;effect/noun;magisch/adj;museum_bezoek/noun;vaak/adj;van/prep	7
heilzaam/adj/nrc_handelsblad_20001216_56/934	beschouw/verb;lees/verb;soort/noun;stand_DIM/noun;voorteken/noun	5	beschouw/verb;lees/verb;soort/noun;stand_DIM/noun;voorteken/noun	5	beschouw/verb;droom/verb;lees/verb;soort/noun;stand_DIM/noun;voorteken/noun;word/verb	7	als/prep;beschouw/verb;een/det;het/det;lees/verb;soort/noun;stand_DIM/noun;van/prep;voorteken/noun	9	als/prep;beschouw/verb;een/det;het/det;lees/verb;soort/noun;stand_DIM/noun;van/prep;voorteken/noun	9	als/prep;beschouw/verb;dit/det;droom/verb;een/det;het/det;lees/verb;soort/noun;stand_DIM/noun;van/prep;voorteken/noun;word/verb	12	beschouw/verb;soort/noun;stand_DIM/noun;voorteken/noun	4	beschouw/verb;soort/noun;stand_DIM/noun;voorteken/noun	4	beschouw/verb;soort/noun;stand_DIM/noun;voorteken/noun;word/verb	5	als/prep;beschouw/verb;een/det;soort/noun;stand_DIM/noun;voorteken/noun	6	als/prep;beschouw/verb;een/det;soort/noun;stand_DIM/noun;voorteken/noun	6	als/prep;beschouw/verb;dit/det;een/det;soort/noun;stand_DIM/noun;voorteken/noun;word/verb	8
