_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
heilzaam.foc10.nav.weight.bound.min1.soc4.nav.5000	-0.23684190181759865	-0.08442056745147818	bound	nav	10_10	weight	684	1	5000	5000	nav	4_4	238	heilzaam	0.24528220360611336
heilzaam.foc10.nav.weight.bound.min1.soc4.nav.10000	-0.26292725815324425	-0.05778439392069139	bound	nav	10_10	weight	684	1	10000	10000	nav	4_4	238	heilzaam	0.23359774370514402
heilzaam.foc10.nav.weight.bound.min1.soc4.nav.FOC	-0.2790050263881245	-0.07115426587348057	bound	nav	10_10	weight	684	1	FOC	684	nav	4_4	238	heilzaam	0.2442392478829799
heilzaam.foc10.nav.weight.bound.min1.soc10.nav.5000	-0.20948785018944102	-0.1326717097661019	bound	nav	10_10	weight	684	1	5000	5000	nav	10_10	238	heilzaam	0.23718232039292628
heilzaam.foc10.nav.weight.bound.min1.soc10.nav.10000	-0.23121520522269867	-0.12080976400518538	bound	nav	10_10	weight	684	1	10000	10000	nav	10_10	238	heilzaam	0.22970755574910626
heilzaam.foc10.nav.weight.bound.min1.soc10.nav.FOC	-0.27429057585569167	-0.12404804403999828	bound	nav	10_10	weight	684	1	FOC	684	nav	10_10	238	heilzaam	0.22995323278380267
heilzaam.foc10.nav.weight.bound.min1.soc4.all.5000	-0.23690591229888225	-0.086632752818639	bound	nav	10_10	weight	684	1	5000	5000	all	4_4	238	heilzaam	0.24580863519768376
heilzaam.foc10.nav.weight.bound.min1.soc4.all.10000	-0.2541858080097589	-0.07240196771835306	bound	nav	10_10	weight	684	1	10000	10000	all	4_4	238	heilzaam	0.23739152256229773
heilzaam.foc10.nav.weight.bound.min1.soc4.all.FOC	-0.27900501695987423	-0.07115429721301098	bound	nav	10_10	weight	684	1	FOC	684	all	4_4	238	heilzaam	0.2442392478829799
heilzaam.foc10.nav.weight.bound.min1.soc10.all.5000	-0.2109323369163873	-0.13315938024283624	bound	nav	10_10	weight	684	1	5000	5000	all	10_10	238	heilzaam	0.23888270659399213
heilzaam.foc10.nav.weight.bound.min1.soc10.all.10000	-0.21889463261998662	-0.12819142112481663	bound	nav	10_10	weight	684	1	10000	10000	all	10_10	238	heilzaam	0.23286339594304045
heilzaam.foc10.nav.weight.bound.min1.soc10.all.FOC	-0.2742905900870649	-0.124048014726055	bound	nav	10_10	weight	684	1	FOC	684	all	10_10	238	heilzaam	0.22995323278380267
heilzaam.foc10.nav.selection.bound.min1.soc4.nav.5000	0.0557355840046146	-0.2638055699083826	bound	nav	10_10	selection	684	1	5000	5000	nav	4_4	238	heilzaam	0.25253223258756685
heilzaam.foc10.nav.selection.bound.min1.soc4.nav.10000	0.02517024374956619	-0.2268625137988259	bound	nav	10_10	selection	684	1	10000	10000	nav	4_4	238	heilzaam	0.23915147783032975
heilzaam.foc10.nav.selection.bound.min1.soc4.nav.FOC	-0.030005877816790035	-0.18293541706030844	bound	nav	10_10	selection	684	1	FOC	684	nav	4_4	238	heilzaam	0.24988781523843082
heilzaam.foc10.nav.selection.bound.min1.soc10.nav.5000	0.053281379272375765	-0.30661250208628527	bound	nav	10_10	selection	684	1	5000	5000	nav	10_10	238	heilzaam	0.24943930418516705
heilzaam.foc10.nav.selection.bound.min1.soc10.nav.10000	0.024914921664626524	-0.27477795193348353	bound	nav	10_10	selection	684	1	10000	10000	nav	10_10	238	heilzaam	0.23891867944748618
heilzaam.foc10.nav.selection.bound.min1.soc10.nav.FOC	-0.05115163977203398	-0.2387332061726292	bound	nav	10_10	selection	684	1	FOC	684	nav	10_10	238	heilzaam	0.23787484330983075
heilzaam.foc10.nav.selection.bound.min1.soc4.all.5000	0.06506092616208921	-0.2730074181952265	bound	nav	10_10	selection	684	1	5000	5000	all	4_4	238	heilzaam	0.25064516367712447
heilzaam.foc10.nav.selection.bound.min1.soc4.all.10000	0.044983373323273367	-0.24859044916291148	bound	nav	10_10	selection	684	1	10000	10000	all	4_4	238	heilzaam	0.24336796730714766
heilzaam.foc10.nav.selection.bound.min1.soc4.all.FOC	-0.030005912412166276	-0.18293545144375176	bound	nav	10_10	selection	684	1	FOC	684	all	4_4	238	heilzaam	0.24988781523843082
heilzaam.foc10.nav.selection.bound.min1.soc10.all.5000	0.05761948001040941	-0.3089278342094887	bound	nav	10_10	selection	684	1	5000	5000	all	10_10	238	heilzaam	0.2497597712296248
heilzaam.foc10.nav.selection.bound.min1.soc10.all.10000	0.04413350115330619	-0.29270924430918743	bound	nav	10_10	selection	684	1	10000	10000	all	10_10	238	heilzaam	0.2444893917166481
heilzaam.foc10.nav.selection.bound.min1.soc10.all.FOC	-0.05115169086765021	-0.23873322908168645	bound	nav	10_10	selection	684	1	FOC	684	all	10_10	238	heilzaam	0.23787484330983075
heilzaam.foc10.nav.no.bound.min1.soc4.nav.5000	0.055735584001306404	-0.2638055699015259	bound	nav	10_10	no	684	1	5000	5000	nav	4_4	238	heilzaam	0.25253223258756685
heilzaam.foc10.nav.no.bound.min1.soc4.nav.10000	0.025170219697715986	-0.22686252971893037	bound	nav	10_10	no	684	1	10000	10000	nav	4_4	238	heilzaam	0.23915147783032975
heilzaam.foc10.nav.no.bound.min1.soc4.nav.FOC	-0.030005876131319074	-0.18293545868448566	bound	nav	10_10	no	684	1	FOC	684	nav	4_4	238	heilzaam	0.24988781523843082
heilzaam.foc10.nav.no.bound.min1.soc10.nav.5000	0.05328141131000975	-0.30661249164630844	bound	nav	10_10	no	684	1	5000	5000	nav	10_10	238	heilzaam	0.24943930418516705
heilzaam.foc10.nav.no.bound.min1.soc10.nav.10000	0.02491494732315916	-0.27477794025394703	bound	nav	10_10	no	684	1	10000	10000	nav	10_10	238	heilzaam	0.23891867944748618
heilzaam.foc10.nav.no.bound.min1.soc10.nav.FOC	-0.05115167809103995	-0.23873319629101997	bound	nav	10_10	no	684	1	FOC	684	nav	10_10	238	heilzaam	0.23787484330983075
heilzaam.foc10.nav.no.bound.min1.soc4.all.5000	0.06506093837999295	-0.27300743639338326	bound	nav	10_10	no	684	1	5000	5000	all	4_4	238	heilzaam	0.25064516367712447
heilzaam.foc10.nav.no.bound.min1.soc4.all.10000	0.044983373324582236	-0.24859044916475292	bound	nav	10_10	no	684	1	10000	10000	all	4_4	238	heilzaam	0.24336796730714766
heilzaam.foc10.nav.no.bound.min1.soc4.all.FOC	-0.03000584142000882	-0.1829354090965798	bound	nav	10_10	no	684	1	FOC	684	all	4_4	238	heilzaam	0.24988781523843082
heilzaam.foc10.nav.no.bound.min1.soc10.all.5000	0.05762013716069077	-0.3089292765730647	bound	nav	10_10	no	684	1	5000	5000	all	10_10	238	heilzaam	0.2497597712296248
heilzaam.foc10.nav.no.bound.min1.soc10.all.10000	0.04413347016518968	-0.2927092550259635	bound	nav	10_10	no	684	1	10000	10000	all	10_10	238	heilzaam	0.2444893917166481
heilzaam.foc10.nav.no.bound.min1.soc10.all.FOC	-0.051151625160030245	-0.23873317421314325	bound	nav	10_10	no	684	1	FOC	684	all	10_10	238	heilzaam	0.23787484330983075
heilzaam.foc10.all.weight.bound.min1.soc4.nav.5000	-0.20213512544758863	-0.06703906789408813	bound	all	10_10	weight	780	1	5000	5000	nav	4_4	239	heilzaam	0.23087377070260326
heilzaam.foc10.all.weight.bound.min1.soc4.nav.10000	-0.2328139090974117	-0.04448898465246935	bound	all	10_10	weight	780	1	10000	10000	nav	4_4	239	heilzaam	0.22532269212933276
heilzaam.foc10.all.weight.bound.min1.soc4.nav.FOC	-0.2422815556733376	-0.05409275001593245	bound	all	10_10	weight	780	1	FOC	780	nav	4_4	239	heilzaam	0.23047097500375055
heilzaam.foc10.all.weight.bound.min1.soc10.nav.5000	-0.17094234862297727	-0.11598847439468507	bound	all	10_10	weight	780	1	5000	5000	nav	10_10	239	heilzaam	0.22791743499453693
heilzaam.foc10.all.weight.bound.min1.soc10.nav.10000	-0.20207224561152728	-0.10782601944802167	bound	all	10_10	weight	780	1	10000	10000	nav	10_10	239	heilzaam	0.221820074732404
heilzaam.foc10.all.weight.bound.min1.soc10.nav.FOC	-0.2326767972348735	-0.10698953572758985	bound	all	10_10	weight	780	1	FOC	780	nav	10_10	239	heilzaam	0.22284834818556368
heilzaam.foc10.all.weight.bound.min1.soc4.all.5000	-0.197757959416653	-0.06977216620402446	bound	all	10_10	weight	780	1	5000	5000	all	4_4	239	heilzaam	0.2352782258493679
heilzaam.foc10.all.weight.bound.min1.soc4.all.10000	-0.2187342532743555	-0.05751663619226365	bound	all	10_10	weight	780	1	10000	10000	all	4_4	239	heilzaam	0.22821899579728291
heilzaam.foc10.all.weight.bound.min1.soc4.all.FOC	-0.24228157986375615	-0.054092761474779996	bound	all	10_10	weight	780	1	FOC	780	all	4_4	239	heilzaam	0.23047097500375055
heilzaam.foc10.all.weight.bound.min1.soc10.all.5000	-0.1714604396326002	-0.11338849479711846	bound	all	10_10	weight	780	1	5000	5000	all	10_10	239	heilzaam	0.2305605506618673
heilzaam.foc10.all.weight.bound.min1.soc10.all.10000	-0.18647676208653513	-0.1169543230516922	bound	all	10_10	weight	780	1	10000	10000	all	10_10	239	heilzaam	0.22422203308041638
heilzaam.foc10.all.weight.bound.min1.soc10.all.FOC	-0.2326768059269397	-0.10698956618741547	bound	all	10_10	weight	780	1	FOC	780	all	10_10	239	heilzaam	0.22284834818556368
heilzaam.foc10.all.selection.bound.min1.soc4.nav.5000	0.4576932812743148	-0.0075691476904325644	bound	all	10_10	selection	780	1	5000	5000	nav	4_4	239	heilzaam	0.2085626370761514
heilzaam.foc10.all.selection.bound.min1.soc4.nav.10000	0.45189555522371516	0.011523881493642932	bound	all	10_10	selection	780	1	10000	10000	nav	4_4	239	heilzaam	0.16523905996057697
heilzaam.foc10.all.selection.bound.min1.soc4.nav.FOC	0.3474237922881768	-0.026645860069088617	bound	all	10_10	selection	780	1	FOC	780	nav	4_4	239	heilzaam	0.22166849912065906
heilzaam.foc10.all.selection.bound.min1.soc10.nav.5000	0.3604902541797692	-0.12096326281646366	bound	all	10_10	selection	780	1	5000	5000	nav	10_10	239	heilzaam	0.23128665662609704
heilzaam.foc10.all.selection.bound.min1.soc10.nav.10000	0.3458010130750905	-0.10931027608127934	bound	all	10_10	selection	780	1	10000	10000	nav	10_10	239	heilzaam	0.2195926962210232
heilzaam.foc10.all.selection.bound.min1.soc10.nav.FOC	0.24817535088720924	-0.12134640006582556	bound	all	10_10	selection	780	1	FOC	780	nav	10_10	239	heilzaam	0.23647094469792165
heilzaam.foc10.all.selection.bound.min1.soc4.all.5000	0.45111225201545774	-0.017817638110724152	bound	all	10_10	selection	780	1	5000	5000	all	4_4	239	heilzaam	0.21373442998893905
heilzaam.foc10.all.selection.bound.min1.soc4.all.10000	0.4509865303877601	0.0010609920211773066	bound	all	10_10	selection	780	1	10000	10000	all	4_4	239	heilzaam	0.18261226159328045
heilzaam.foc10.all.selection.bound.min1.soc4.all.FOC	0.34742378029598686	-0.026645895180263487	bound	all	10_10	selection	780	1	FOC	780	all	4_4	239	heilzaam	0.22166849912065906
