LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
		helpen.BOWbound10lex.PPMIweight.LENGTH5000	BOW	bound	355	lex	10_10	1	weight	5000	5000	nav	4_4	218	helpen
		helpen.BOWbound10lex.PPMIweight.LENGTHFOC	BOW	bound	355	lex	10_10	1	weight	FOC	355	nav	4_4	218	helpen
		helpen.BOWbound10lex.PPMIselection.LENGTH5000	BOW	bound	355	lex	10_10	1	selection	5000	5000	nav	4_4	218	helpen
		helpen.BOWbound10lex.PPMIselection.LENGTHFOC	BOW	bound	355	lex	10_10	1	selection	FOC	355	nav	4_4	218	helpen
		helpen.BOWbound10lex.PPMIno.LENGTH5000	BOW	bound	741	lex	10_10	1	no	5000	5000	nav	4_4	228	helpen
		helpen.BOWbound10lex.PPMIno.LENGTHFOC	BOW	bound	741	lex	10_10	1	no	FOC	741	nav	4_4	228	helpen
		helpen.BOWbound10all.PPMIweight.LENGTH5000	BOW	bound	478	all	10_10	1	weight	5000	5000	nav	4_4	229	helpen
		helpen.BOWbound10all.PPMIweight.LENGTHFOC	BOW	bound	478	all	10_10	1	weight	FOC	478	nav	4_4	229	helpen
		helpen.BOWbound10all.PPMIselection.LENGTH5000	BOW	bound	478	all	10_10	1	selection	5000	5000	nav	4_4	229	helpen
		helpen.BOWbound10all.PPMIselection.LENGTHFOC	BOW	bound	478	all	10_10	1	selection	FOC	478	nav	4_4	229	helpen
		helpen.BOWbound10all.PPMIno.LENGTH5000	BOW	bound	1026	all	10_10	1	no	5000	5000	nav	4_4	233	helpen
		helpen.BOWbound10all.PPMIno.LENGTHFOC	BOW	bound	1026	all	10_10	1	no	FOC	1026	nav	4_4	233	helpen
		helpen.BOWbound5lex.PPMIweight.LENGTH5000	BOW	bound	254	lex	5_5	1	weight	5000	5000	nav	4_4	211	helpen
		helpen.BOWbound5lex.PPMIweight.LENGTHFOC	BOW	bound	254	lex	5_5	1	weight	FOC	254	nav	4_4	211	helpen
		helpen.BOWbound5lex.PPMIselection.LENGTH5000	BOW	bound	254	lex	5_5	1	selection	5000	5000	nav	4_4	211	helpen
		helpen.BOWbound5lex.PPMIselection.LENGTHFOC	BOW	bound	254	lex	5_5	1	selection	FOC	254	nav	4_4	211	helpen
		helpen.BOWbound5lex.PPMIno.LENGTH5000	BOW	bound	459	lex	5_5	1	no	5000	5000	nav	4_4	225	helpen
		helpen.BOWbound5lex.PPMIno.LENGTHFOC	BOW	bound	459	lex	5_5	1	no	FOC	459	nav	4_4	225	helpen
		helpen.BOWbound5all.PPMIweight.LENGTH5000	BOW	bound	350	all	5_5	1	weight	5000	5000	nav	4_4	229	helpen
		helpen.BOWbound5all.PPMIweight.LENGTHFOC	BOW	bound	350	all	5_5	1	weight	FOC	350	nav	4_4	229	helpen
		helpen.BOWbound5all.PPMIselection.LENGTH5000	BOW	bound	350	all	5_5	1	selection	5000	5000	nav	4_4	229	helpen
		helpen.BOWbound5all.PPMIselection.LENGTHFOC	BOW	bound	350	all	5_5	1	selection	FOC	350	nav	4_4	229	helpen
		helpen.BOWbound5all.PPMIno.LENGTH5000	BOW	bound	634	all	5_5	1	no	5000	5000	nav	4_4	233	helpen
		helpen.BOWbound5all.PPMIno.LENGTHFOC	BOW	bound	634	all	5_5	1	no	FOC	634	nav	4_4	233	helpen
		helpen.BOWbound3lex.PPMIweight.LENGTH5000	BOW	bound	185	lex	3_3	1	weight	5000	5000	nav	4_4	196	helpen
		helpen.BOWbound3lex.PPMIweight.LENGTHFOC	BOW	bound	185	lex	3_3	1	weight	FOC	185	nav	4_4	196	helpen
		helpen.BOWbound3lex.PPMIselection.LENGTH5000	BOW	bound	185	lex	3_3	1	selection	5000	5000	nav	4_4	196	helpen
		helpen.BOWbound3lex.PPMIselection.LENGTHFOC	BOW	bound	185	lex	3_3	1	selection	FOC	185	nav	4_4	196	helpen
		helpen.BOWbound3lex.PPMIno.LENGTH5000	BOW	bound	307	lex	3_3	1	no	5000	5000	nav	4_4	216	helpen
		helpen.BOWbound3lex.PPMIno.LENGTHFOC	BOW	bound	307	lex	3_3	1	no	FOC	307	nav	4_4	216	helpen
		helpen.BOWbound3all.PPMIweight.LENGTH5000	BOW	bound	266	all	3_3	1	weight	5000	5000	nav	4_4	226	helpen
		helpen.BOWbound3all.PPMIweight.LENGTHFOC	BOW	bound	266	all	3_3	1	weight	FOC	266	nav	4_4	226	helpen
		helpen.BOWbound3all.PPMIselection.LENGTH5000	BOW	bound	266	all	3_3	1	selection	5000	5000	nav	4_4	226	helpen
		helpen.BOWbound3all.PPMIselection.LENGTHFOC	BOW	bound	266	all	3_3	1	selection	FOC	266	nav	4_4	226	helpen
		helpen.BOWbound3all.PPMIno.LENGTH5000	BOW	bound	434	all	3_3	1	no	5000	5000	nav	4_4	232	helpen
		helpen.BOWbound3all.PPMIno.LENGTHFOC	BOW	bound	434	all	3_3	1	no	FOC	434	nav	4_4	232	helpen
		helpen.BOWnobound10lex.PPMIweight.LENGTH5000	BOW	nobound	434	lex	10_10	1	weight	5000	5000	nav	4_4	227	helpen
		helpen.BOWnobound10lex.PPMIweight.LENGTHFOC	BOW	nobound	434	lex	10_10	1	weight	FOC	434	nav	4_4	227	helpen
