_id	_cws.hemels.foc10.nav.weight.bound	_count.hemels.foc10.nav.weight.bound	_cws.hemels.foc10.nav.selection.bound	_count.hemels.foc10.nav.selection.bound	_cws.hemels.foc10.nav.no.bound	_count.hemels.foc10.nav.no.bound	_cws.hemels.foc10.all.weight.bound	_count.hemels.foc10.all.weight.bound	_cws.hemels.foc10.all.selection.bound	_count.hemels.foc10.all.selection.bound	_cws.hemels.foc10.all.no.bound	_count.hemels.foc10.all.no.bound	_cws.hemels.foc5.nav.weight.bound	_count.hemels.foc5.nav.weight.bound	_cws.hemels.foc5.nav.selection.bound	_count.hemels.foc5.nav.selection.bound	_cws.hemels.foc5.nav.no.bound	_count.hemels.foc5.nav.no.bound	_cws.hemels.foc5.all.weight.bound	_count.hemels.foc5.all.weight.bound	_cws.hemels.foc5.all.selection.bound	_count.hemels.foc5.all.selection.bound	_cws.hemels.foc5.all.no.bound	_count.hemels.foc5.all.no.bound
hemels/adj/nrc_handelsblad_20000401_83/3544	half/adj;interventie/noun;precies/adj;regenboog/noun;reik/verb;stand_beeld/noun;straal/noun;verschijn/verb	8	half/adj;interventie/noun;precies/adj;regenboog/noun;reik/verb;stand_beeld/noun;straal/noun;verschijn/verb	8	half/adj;interventie/noun;precies/adj;regenboog/noun;reik/verb;stand_beeld/noun;straal/noun;verschijn/verb	8	als/prep;boven/prep;een/det;half/adj;het/det;interventie/noun;precies/adj;regenboog/noun;reik/verb;stand_beeld/noun;straal/noun;tot/prep;uit/prep;verschijn/verb	14	als/prep;boven/prep;een/det;half/adj;het/det;interventie/noun;precies/adj;regenboog/noun;reik/verb;stand_beeld/noun;straal/noun;tot/prep;uit/prep;verschijn/verb	14	als/prep;boven/prep;een/det;half/adj;het/det;interventie/noun;precies/adj;regenboog/noun;reik/verb;stand_beeld/noun;straal/noun;tot/prep;uit/prep;verschijn/verb	14	interventie/noun;reik/verb;straal/noun	3	interventie/noun;reik/verb;straal/noun	3	interventie/noun;reik/verb;straal/noun	3	als/prep;een/det;interventie/noun;reik/verb;straal/noun	5	als/prep;een/det;interventie/noun;reik/verb;straal/noun	5	als/prep;een/det;interventie/noun;reik/verb;straal/noun	5
hemels/adj/nrc_handelsblad_20040206_69/238	aards/adj;concreet/adj;symbolisch/adj;zinnelijk/adj	4	aards/adj;concreet/adj;symbolisch/adj;zinnelijk/adj	4	aards/adj;concreet/adj;symbolisch/adj;zinnelijk/adj	4	aards/adj;concreet/adj;het/det;met/prep;symbolisch/adj;zinnelijk/adj	6	aards/adj;concreet/adj;het/det;met/prep;symbolisch/adj;zinnelijk/adj	6	aards/adj;concreet/adj;het/det;met/prep;symbolisch/adj;zinnelijk/adj	6	aards/adj;concreet/adj	2	aards/adj;concreet/adj	2	aards/adj;concreet/adj	2	aards/adj;concreet/adj;het/det;met/prep	4	aards/adj;concreet/adj;het/det;met/prep	4	aards/adj;concreet/adj;het/det;met/prep	4
hemels/adj/nrc_handelsblad_20020525_151/2559	geur/noun;gezang/noun;hoor/verb;kamer/noun;oog/noun;traan/noun;vul/verb;wierook/noun	8	geur/noun;gezang/noun;hoor/verb;kamer/noun;oog/noun;traan/noun;vul/verb;wierook/noun	8	geur/noun;gezang/noun;hoor/verb;kamer/noun;oog/noun;traan/noun;vul/verb;wierook/noun	8	geur/noun;gezang/noun;hoor/verb;kamer/noun;met/prep;oog/noun;traan/noun;vul/verb;wierook/noun;zijn/det	10	geur/noun;gezang/noun;hoor/verb;kamer/noun;met/prep;oog/noun;traan/noun;vul/verb;wierook/noun;zijn/det	10	geur/noun;gezang/noun;hoor/verb;kamer/noun;met/prep;oog/noun;traan/noun;vul/verb;wierook/noun;zijn/det	10	gezang/noun;hoor/verb;kamer/noun;oog/noun;vul/verb	5	gezang/noun;hoor/verb;kamer/noun;oog/noun;vul/verb	5	gezang/noun;hoor/verb;kamer/noun;oog/noun;vul/verb	5	gezang/noun;hoor/verb;kamer/noun;oog/noun;vul/verb;zijn/det	6	gezang/noun;hoor/verb;kamer/noun;oog/noun;vul/verb;zijn/det	6	gezang/noun;hoor/verb;kamer/noun;oog/noun;vul/verb;zijn/det	6
hemels/adj/nrc_handelsblad_20000126_103/451	façade/noun;gepolijst/adj;hart/noun;indrukwekkend/adj;ingetogen/adj;meest/adj;passage/noun;verborgen/adj	8	façade/noun;gepolijst/adj;hart/noun;indrukwekkend/adj;ingetogen/adj;meest/adj;passage/noun;verborgen/adj	8	façade/noun;gepolijst/adj;hart/noun;indrukwekkend/adj;ingetogen/adj;meest/adj;passage/noun;verborgen/adj	8	façade/noun;gepolijst/adj;haar/det;hart/noun;indrukwekkend/adj;ingetogen/adj;meest/adj;passage/noun;verborgen/adj	9	façade/noun;gepolijst/adj;haar/det;hart/noun;indrukwekkend/adj;ingetogen/adj;meest/adj;passage/noun;verborgen/adj	9	façade/noun;gepolijst/adj;haar/det;hart/noun;indrukwekkend/adj;ingetogen/adj;meest/adj;passage/noun;verborgen/adj	9	hart/noun;meest/adj;passage/noun;verborgen/adj	4	hart/noun;meest/adj;passage/noun;verborgen/adj	4	hart/noun;meest/adj;passage/noun;verborgen/adj	4	haar/det;hart/noun;meest/adj;passage/noun;verborgen/adj	5	haar/det;hart/noun;meest/adj;passage/noun;verborgen/adj	5	haar/det;hart/noun;meest/adj;passage/noun;verborgen/adj	5
hemels/adj/nrc_handelsblad_20010511_105/1413	alleen/adj;kaats_terug/verb;licht/noun;stap/noun;toeschouwer/noun	5	alleen/adj;kaats_terug/verb;licht/noun;stap/noun;toeschouwer/noun	5	alleen/adj;kaats_terug/verb;licht/noun;stap/noun;toeschouwer/noun	5	alleen/adj;het/det;kaats_terug/verb;licht/noun;meteen/adv;stap/noun;toeschouwer/noun;weer/adv	8	alleen/adj;het/det;kaats_terug/verb;licht/noun;meteen/adv;stap/noun;toeschouwer/noun;weer/adv	8	alleen/adj;het/det;kaats_terug/verb;licht/noun;meteen/adv;stap/noun;toeschouwer/noun;weer/adv	8	alleen/adj;licht/noun;toeschouwer/noun	3	alleen/adj;licht/noun;toeschouwer/noun	3	alleen/adj;licht/noun;toeschouwer/noun	3	alleen/adj;licht/noun;toeschouwer/noun	3	alleen/adj;licht/noun;toeschouwer/noun	3	alleen/adj;licht/noun;toeschouwer/noun	3
hemels/adj/nrc_handelsblad_20010927_82/482	geschenk/noun	1	geschenk/noun	1	geschenk/noun	1	als/prep;een/det;geschenk/noun	3	als/prep;een/det;geschenk/noun	3	als/prep;een/det;geschenk/noun	3	geschenk/noun	1	geschenk/noun	1	geschenk/noun	1	als/prep;een/det;geschenk/noun	3	als/prep;een/det;geschenk/noun	3	als/prep;een/det;geschenk/noun	3
hemels/adj/nrc_handelsblad_20010608_68/310	aura/noun;glans/adj;passage/noun;verleen/verb;zinsnede/noun	5	aura/noun;glans/adj;passage/noun;verleen/verb;zinsnede/noun	5	aura/noun;glans/adj;passage/noun;verleen/verb;zinsnede/noun	5	aura/noun;een/det;glans/adj;passage/noun;verleen/verb;zinsnede/noun	6	aura/noun;een/det;glans/adj;passage/noun;verleen/verb;zinsnede/noun	6	aura/noun;een/det;glans/adj;passage/noun;verleen/verb;zinsnede/noun	6	aura/noun;glans/adj;passage/noun;verleen/verb	4	aura/noun;glans/adj;passage/noun;verleen/verb	4	aura/noun;glans/adj;passage/noun;verleen/verb	4	aura/noun;een/det;glans/adj;passage/noun;verleen/verb	5	aura/noun;een/det;glans/adj;passage/noun;verleen/verb	5	aura/noun;een/det;glans/adj;passage/noun;verleen/verb	5
hemels/adj/nrc_handelsblad_20020426_195/2283	licht/adj;lood/noun;schroot/noun	3	licht/adj;lood/noun;schroot/noun	3	licht/adj;lood/noun;schroot/noun	3	het/det;licht/adj;lood/noun;met/prep;schroot/noun;zo/adv	6	het/det;licht/adj;lood/noun;met/prep;schroot/noun;zo/adv	6	het/det;licht/adj;lood/noun;met/prep;schroot/noun;zo/adv	6	licht/adj;lood/noun	2	licht/adj;lood/noun	2	licht/adj;lood/noun	2	het/det;licht/adj;lood/noun;zo/adv	4	het/det;licht/adj;lood/noun;zo/adv	4	het/det;licht/adj;lood/noun;zo/adv	4
hemels/adj/nrc_handelsblad_20001214_55/71	beeld_uit/verb;teatraal/adj;wolk/noun	3	beeld_uit/verb;teatraal/adj;wolk/noun	3	beeld_uit/verb;teatraal/adj;wolk/noun	3	als/prep;beeld_uit/verb;een/det;met/prep;plaats/prep;teatraal/adj;vol/prep;wolk/noun;zichzelf/pron	9	als/prep;beeld_uit/verb;een/det;met/prep;plaats/prep;teatraal/adj;vol/prep;wolk/noun;zichzelf/pron	9	als/prep;beeld_uit/verb;een/det;met/prep;plaats/prep;teatraal/adj;vol/prep;wolk/noun;zichzelf/pron	9	wolk/noun	1	wolk/noun	1	wolk/noun	1	als/prep;een/det;plaats/prep;vol/prep;wolk/noun	5	als/prep;een/det;plaats/prep;vol/prep;wolk/noun	5	als/prep;een/det;plaats/prep;vol/prep;wolk/noun	5
hemels/adj/nrc_handelsblad_20001130_59/205	detective/noun;lichaam/noun;man_DIM/noun;vrouwelijk/adj;wapen/noun	5	detective/noun;lichaam/noun;man_DIM/noun;vrouwelijk/adj;wapen/noun	5	detective/noun;lichaam/noun;man_DIM/noun;vrouwelijk/adj;wapen/noun	5	als/prep;detective/noun;die/pron;lichaam/noun;man_DIM/noun;vrouwelijk/adj;wapen/noun	7	als/prep;detective/noun;die/pron;lichaam/noun;man_DIM/noun;vrouwelijk/adj;wapen/noun	7	als/prep;detective/noun;die/pron;lichaam/noun;man_DIM/noun;vrouwelijk/adj;wapen/noun	7	lichaam/noun;wapen/noun	2	lichaam/noun;wapen/noun	2	lichaam/noun;wapen/noun	2	als/prep;lichaam/noun;wapen/noun	3	als/prep;lichaam/noun;wapen/noun	3	als/prep;lichaam/noun;wapen/noun	3
