_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herhalen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.056400978864310496	-0.10101894398707739	NA	NA	bound	406	lex	10_10	1	weight	5000	5000	nav	4_4	305	herhalen	0.26469359578156076	BOW
herhalen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.17790873432340798	-0.04187714847864185	NA	NA	bound	406	lex	10_10	1	weight	5000	5000	all	4_4	305	herhalen	0.27416228839453355	BOW
herhalen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.01681463180210846	-0.08361567680389337	NA	NA	bound	406	lex	10_10	1	weight	FOC	260	nav	4_4	305	herhalen	0.2884755484771986	BOW
herhalen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.01170086621028328	-0.0769100173226934	NA	NA	bound	406	lex	10_10	1	weight	FOC	406	all	4_4	305	herhalen	0.2856042790242695	BOW
herhalen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.011350886481538236	-0.12422640203074868	NA	NA	bound	406	lex	10_10	1	selection	5000	5000	nav	4_4	305	herhalen	0.25260345954658103	BOW
herhalen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.22761667674025335	-0.10205222907924696	NA	NA	bound	406	lex	10_10	1	selection	5000	5000	all	4_4	305	herhalen	0.2643213841088996	BOW
herhalen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.039294996250365304	-0.14420796410433295	NA	NA	bound	406	lex	10_10	1	selection	FOC	260	nav	4_4	305	herhalen	0.2739064842943718	BOW
herhalen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	0.03905919602332999	-0.12304854547853576	NA	NA	bound	406	lex	10_10	1	selection	FOC	406	all	4_4	305	herhalen	0.26650493503198996	BOW
herhalen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.11761811566151488	-0.1866081939068095	NA	NA	bound	888	lex	10_10	1	no	5000	5000	nav	4_4	312	herhalen	0.2599483690849506	BOW
herhalen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.37128889061148673	-0.2833863899631148	NA	NA	bound	888	lex	10_10	1	no	5000	5000	all	4_4	312	herhalen	0.2618775392539659	BOW
herhalen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.1384750116326685	-0.2127820617673885	NA	NA	bound	888	lex	10_10	1	no	FOC	656	nav	4_4	312	herhalen	0.27115632797053607	BOW
herhalen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.1396958022930544	-0.2067159574663778	NA	NA	bound	888	lex	10_10	1	no	FOC	888	all	4_4	312	herhalen	0.2627067619687182	BOW
herhalen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.013920024122483426	0.08116916787448697	NA	NA	bound	610	all	10_10	1	weight	5000	5000	nav	4_4	311	herhalen	0.2530261160396418	BOW
herhalen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.1735314190211119	0.07983295947774939	NA	NA	bound	610	all	10_10	1	weight	5000	5000	all	4_4	311	herhalen	0.26692077754757915	BOW
herhalen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	0.03865572769398001	0.027392378596454516	NA	NA	bound	610	all	10_10	1	weight	FOC	260	nav	4_4	311	herhalen	0.26978300035262276	BOW
herhalen.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.03715292711749684	0.01804761963090944	NA	NA	bound	610	all	10_10	1	weight	FOC	610	all	4_4	311	herhalen	0.2632273134344463	BOW
herhalen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.10387738854582126	0.0286762469935279	NA	NA	bound	610	all	10_10	1	selection	5000	5000	nav	4_4	311	herhalen	0.24357314766328683	BOW
herhalen.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.2979595980215126	0.07903930495083772	NA	NA	bound	610	all	10_10	1	selection	5000	5000	all	4_4	311	herhalen	0.26837832000100537	BOW
herhalen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.13640253759613952	-0.03254471432112884	NA	NA	bound	610	all	10_10	1	selection	FOC	260	nav	4_4	311	herhalen	0.2508276172330455	BOW
herhalen.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.11556305704723605	-0.03398361136942871	NA	NA	bound	610	all	10_10	1	selection	FOC	610	all	4_4	311	herhalen	0.2441533785899187	BOW
herhalen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	0.26960931325774073	-0.058501441512018096	NA	NA	bound	1268	all	10_10	1	no	5000	5000	nav	4_4	312	herhalen	0.2184615649760721	BOW
herhalen.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	-0.5160111035721453	0.003336913053453343	NA	NA	bound	1268	all	10_10	1	no	5000	5000	all	4_4	312	herhalen	0.2511011072145451	BOW
herhalen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.2478167092139254	-0.09459685521731236	NA	NA	bound	1268	all	10_10	1	no	FOC	656	nav	4_4	312	herhalen	0.233272781554475	BOW
herhalen.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	0.2387482117292412	-0.101694793287702	NA	NA	bound	1268	all	10_10	1	no	FOC	1268	all	4_4	312	herhalen	0.2277615149975489	BOW
herhalen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.049612284643649134	-0.10889027408484203	NA	NA	bound	300	lex	5_5	1	weight	5000	5000	nav	4_4	292	herhalen	0.2629520455878015	BOW
herhalen.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.16468505245459344	-0.04778252434855964	NA	NA	bound	300	lex	5_5	1	weight	5000	5000	all	4_4	292	herhalen	0.27274317168158596	BOW
