LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
NA	NA	herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	297	lex	10_10	1	weight	5000	5000	nav	4_4	222	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	297	lex	10_10	1	weight	5000	5000	all	4_4	222	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	297	lex	10_10	1	weight	FOC	199	nav	4_4	222	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	297	lex	10_10	1	weight	FOC	297	all	4_4	222	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	297	lex	10_10	1	selection	5000	5000	nav	4_4	222	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	297	lex	10_10	1	selection	5000	5000	all	4_4	222	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	297	lex	10_10	1	selection	FOC	199	nav	4_4	222	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	297	lex	10_10	1	selection	FOC	297	all	4_4	222	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	706	lex	10_10	1	no	5000	5000	nav	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	706	lex	10_10	1	no	5000	5000	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	706	lex	10_10	1	no	FOC	522	nav	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	706	lex	10_10	1	no	FOC	706	all	4_4	239	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	461	all	10_10	1	weight	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	461	all	10_10	1	weight	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	461	all	10_10	1	weight	FOC	199	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	461	all	10_10	1	weight	FOC	461	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	461	all	10_10	1	selection	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	461	all	10_10	1	selection	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	461	all	10_10	1	selection	FOC	199	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	461	all	10_10	1	selection	FOC	461	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	1046	all	10_10	1	no	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	1046	all	10_10	1	no	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSnav	BOW	bound	1046	all	10_10	1	no	FOC	522	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound10all.PPMIno.LENGTHFOC.SOCPOSall	BOW	bound	1046	all	10_10	1	no	FOC	1046	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	bound	217	lex	5_5	1	weight	5000	5000	nav	4_4	203	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	bound	217	lex	5_5	1	weight	5000	5000	all	4_4	203	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	bound	217	lex	5_5	1	weight	FOC	148	nav	4_4	203	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIweight.LENGTHFOC.SOCPOSall	BOW	bound	217	lex	5_5	1	weight	FOC	217	all	4_4	203	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSnav	BOW	bound	217	lex	5_5	1	selection	5000	5000	nav	4_4	203	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIselection.LENGTH5000.SOCPOSall	BOW	bound	217	lex	5_5	1	selection	5000	5000	all	4_4	203	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	bound	217	lex	5_5	1	selection	FOC	148	nav	4_4	203	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	bound	217	lex	5_5	1	selection	FOC	217	all	4_4	203	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	bound	415	lex	5_5	1	no	5000	5000	nav	4_4	234	herinneren	NA
NA	NA	herinneren.BOWbound5lex.PPMIno.LENGTH5000.SOCPOSall	BOW	bound	415	lex	5_5	1	no	5000	5000	all	4_4	234	herinneren	NA
