_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07639039302128	-0.0396314891322733	NA	NA	BOW	bound	353	lex	10_10	1	weight	5000	5000	nav	4_4	234	herroepen	0.24223343043452286
herroepen.BOWbound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.117867624701653	-0.09055673519549785	NA	NA	BOW	bound	353	lex	10_10	1	weight	5000	5000	all	4_4	234	herroepen	0.2684882946531934
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08868187931760048	-0.04931855440832827	NA	NA	BOW	bound	353	lex	10_10	1	weight	FOC	259	nav	4_4	234	herroepen	0.23188887847681286
herroepen.BOWbound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.08522208935347364	-0.05018324897952352	NA	NA	BOW	bound	353	lex	10_10	1	weight	FOC	353	all	4_4	234	herroepen	0.23217252467946245
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.019424482915900255	0.046683531008332176	NA	NA	BOW	bound	353	lex	10_10	1	selection	5000	5000	nav	4_4	234	herroepen	0.25282476167690987
herroepen.BOWbound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.07066303413911672	-0.009321205104272902	NA	NA	BOW	bound	353	lex	10_10	1	selection	5000	5000	all	4_4	234	herroepen	0.268810089031023
herroepen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.032715142860775995	0.009490446385461246	NA	NA	BOW	bound	353	lex	10_10	1	selection	FOC	259	nav	4_4	234	herroepen	0.23690454214143292
herroepen.BOWbound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.028271200260099296	0.006564260140955111	NA	NA	BOW	bound	353	lex	10_10	1	selection	FOC	353	all	4_4	234	herroepen	0.24027955586809824
herroepen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSnav	0.08247001986746107	0.059848309892601974	NA	NA	BOW	bound	676	lex	10_10	1	no	5000	5000	nav	4_4	235	herroepen	0.2609385232978997
herroepen.BOWbound10lex.PPMIno.LENGTH5000.SOCPOSall	0.14275749737790328	0.041553969128475705	NA	NA	BOW	bound	676	lex	10_10	1	no	5000	5000	all	4_4	235	herroepen	0.2624953134168406
herroepen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSnav	0.05356098835948162	0.028990496089928843	NA	NA	BOW	bound	676	lex	10_10	1	no	FOC	488	nav	4_4	235	herroepen	0.25218997074877664
herroepen.BOWbound10lex.PPMIno.LENGTHFOC.SOCPOSall	0.052891737335027306	0.019486509766510347	NA	NA	BOW	bound	676	lex	10_10	1	no	FOC	676	all	4_4	235	herroepen	0.24795732317600874
herroepen.BOWbound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.0012539465156829574	-0.03792251709461411	NA	NA	BOW	bound	472	all	10_10	1	weight	5000	5000	nav	4_4	236	herroepen	0.24188945821377147
