_id	_cws.hoekig.foc10.nav.weight.bound	_count.hoekig.foc10.nav.weight.bound	_cws.hoekig.foc10.nav.selection.bound	_count.hoekig.foc10.nav.selection.bound	_cws.hoekig.foc10.nav.no.bound	_count.hoekig.foc10.nav.no.bound	_cws.hoekig.foc10.all.weight.bound	_count.hoekig.foc10.all.weight.bound	_cws.hoekig.foc10.all.selection.bound	_count.hoekig.foc10.all.selection.bound	_cws.hoekig.foc10.all.no.bound	_count.hoekig.foc10.all.no.bound	_cws.hoekig.foc5.nav.weight.bound	_count.hoekig.foc5.nav.weight.bound	_cws.hoekig.foc5.nav.selection.bound	_count.hoekig.foc5.nav.selection.bound	_cws.hoekig.foc5.nav.no.bound	_count.hoekig.foc5.nav.no.bound	_cws.hoekig.foc5.all.weight.bound	_count.hoekig.foc5.all.weight.bound	_cws.hoekig.foc5.all.selection.bound	_count.hoekig.foc5.all.selection.bound	_cws.hoekig.foc5.all.no.bound	_count.hoekig.foc5.all.no.bound
hoekig/adj/nrc_handelsblad_20010405_29/236	onaf/adj;onbegrip/noun;raak/adj;soort/noun;tafereel/noun	5	onaf/adj;onbegrip/noun;raak/adj;soort/noun;tafereel/noun	5	onaf/adj;onbegrip/noun;raak/adj;soort/noun;tafereel/noun	5	dat/pron;een/det;met/prep;onaf/adj;onbegrip/noun;raak/adj;soort/noun;tafereel/noun	8	dat/pron;een/det;met/prep;onaf/adj;onbegrip/noun;raak/adj;soort/noun;tafereel/noun	8	dat/pron;een/det;met/prep;onaf/adj;onbegrip/noun;raak/adj;soort/noun;tafereel/noun	8	onaf/adj;tafereel/noun	2	onaf/adj;tafereel/noun	2	onaf/adj;tafereel/noun	2	een/det;met/prep;onaf/adj;tafereel/noun	4	een/det;met/prep;onaf/adj;tafereel/noun	4	een/det;met/prep;onaf/adj;tafereel/noun	4
hoekig/adj/nrc_handelsblad_20020812_7/163	complex/adj;grondig/adj;klink/adj;overhand/noun;ritme/noun;stotter/adj;studie/noun	7	complex/adj;grondig/adj;klink/adj;overhand/noun;ritme/noun;stotter/adj;studie/noun	7	complex/adj;grondig/adj;klink/adj;overhand/noun;ritme/noun;stotter/adj;studie/noun	7	af/adv;complex/adj;een/det;en/adv;grondig/adj;klink/adj;met/prep;overhand/noun;ritme/noun;stotter/adj;studie/noun;toe/adv;zijn/det	13	af/adv;complex/adj;een/det;en/adv;grondig/adj;klink/adj;met/prep;overhand/noun;ritme/noun;stotter/adj;studie/noun;toe/adv;zijn/det	13	af/adv;complex/adj;een/det;en/adv;grondig/adj;klink/adj;met/prep;overhand/noun;ritme/noun;stotter/adj;studie/noun;toe/adv;zijn/det	13	complex/adj;klink/adj;overhand/noun;ritme/noun;stotter/adj	5	complex/adj;klink/adj;overhand/noun;ritme/noun;stotter/adj	5	complex/adj;klink/adj;overhand/noun;ritme/noun;stotter/adj	5	complex/adj;klink/adj;met/prep;overhand/noun;ritme/noun;stotter/adj;zijn/det	7	complex/adj;klink/adj;met/prep;overhand/noun;ritme/noun;stotter/adj;zijn/det	7	complex/adj;klink/adj;met/prep;overhand/noun;ritme/noun;stotter/adj;zijn/det	7
hoekig/adj/nrc_handelsblad_19991008_64/156	afstandelijk/adj;alleen/adj;muziek/noun;muziekleven/noun;overheers/verb;schep/adj	6	afstandelijk/adj;alleen/adj;muziek/noun;muziekleven/noun;overheers/verb;schep/adj	6	afstandelijk/adj;alleen/adj;muziek/noun;muziekleven/noun;overheers/verb;schep/adj	6	afstandelijk/adj;alleen/adj;muziek/noun;muziekleven/noun;overheers/verb;schep/adj	6	afstandelijk/adj;alleen/adj;muziek/noun;muziekleven/noun;overheers/verb;schep/adj	6	afstandelijk/adj;alleen/adj;muziek/noun;muziekleven/noun;overheers/verb;schep/adj	6	afstandelijk/adj;muziek/noun;muziekleven/noun;overheers/verb	4	afstandelijk/adj;muziek/noun;muziekleven/noun;overheers/verb	4	afstandelijk/adj;muziek/noun;muziekleven/noun;overheers/verb	4	afstandelijk/adj;muziek/noun;muziekleven/noun;overheers/verb	4	afstandelijk/adj;muziek/noun;muziekleven/noun;overheers/verb	4	afstandelijk/adj;muziek/noun;muziekleven/noun;overheers/verb	4
hoekig/adj/nrc_handelsblad_20000531_27/785	aantrekkelijk/adj;ben/verb;kleur_vlak/noun;monitor/noun;tafel/noun;vier/noun;zie/verb	7	aantrekkelijk/adj;ben/verb;kleur_vlak/noun;monitor/noun;tafel/noun;vier/noun;zie/verb	7	aantrekkelijk/adj;ben/verb;kleur_vlak/noun;monitor/noun;tafel/noun;vier/noun;zie/verb	7	aantrekkelijk/adj;ben/verb;door/prep;kleur_vlak/noun;met/prep;monitor/noun;tafel/noun;vier/noun;zie/verb	9	aantrekkelijk/adj;ben/verb;door/prep;kleur_vlak/noun;met/prep;monitor/noun;tafel/noun;vier/noun;zie/verb	9	aantrekkelijk/adj;ben/verb;door/prep;kleur_vlak/noun;met/prep;monitor/noun;tafel/noun;vier/noun;zie/verb	9	kleur_vlak/noun;tafel/noun;zie/verb	3	kleur_vlak/noun;tafel/noun;zie/verb	3	kleur_vlak/noun;tafel/noun;zie/verb	3	door/prep;kleur_vlak/noun;met/prep;tafel/noun;zie/verb	5	door/prep;kleur_vlak/noun;met/prep;tafel/noun;zie/verb	5	door/prep;kleur_vlak/noun;met/prep;tafel/noun;zie/verb	5
hoekig/adj/nrc_handelsblad_20001122_154/268	bezweer/adj;gezicht_DIM/noun;sip/adj;speel/verb;tred/noun;zus_DIM/noun	6	bezweer/adj;gezicht_DIM/noun;sip/adj;speel/verb;tred/noun;zus_DIM/noun	6	bezweer/adj;gezicht_DIM/noun;sip/adj;speel/verb;tred/noun;zus_DIM/noun	6	bezweer/adj;bijna/adv;dat/pron;een/det;gezicht_DIM/noun;met/prep;sip/adj;speel/verb;tred/noun;zus_DIM/noun	10	bezweer/adj;bijna/adv;dat/pron;een/det;gezicht_DIM/noun;met/prep;sip/adj;speel/verb;tred/noun;zus_DIM/noun	10	bezweer/adj;bijna/adv;dat/pron;een/det;gezicht_DIM/noun;met/prep;sip/adj;speel/verb;tred/noun;zus_DIM/noun	10	gezicht_DIM/noun;sip/adj;speel/verb;tred/noun	4	gezicht_DIM/noun;sip/adj;speel/verb;tred/noun	4	gezicht_DIM/noun;sip/adj;speel/verb;tred/noun	4	een/det;gezicht_DIM/noun;sip/adj;speel/verb;tred/noun	5	een/det;gezicht_DIM/noun;sip/adj;speel/verb;tred/noun	5	een/det;gezicht_DIM/noun;sip/adj;speel/verb;tred/noun	5
hoekig/adj/nrc_handelsblad_20040501_40/249	afkomst/noun;beweeg_voort/verb;echt/adj;noem/verb;stoom/noun	5	afkomst/noun;beweeg_voort/verb;echt/adj;noem/verb;stoom/noun	5	afkomst/noun;beweeg_voort/verb;echt/adj;noem/verb;stoom/noun	5	afkomst/noun;beweeg_voort/verb;echt/adj;noem/verb;stoom/noun;zijn/det	6	afkomst/noun;beweeg_voort/verb;echt/adj;noem/verb;stoom/noun;zijn/det	6	afkomst/noun;beweeg_voort/verb;echt/adj;noem/verb;stoom/noun;zijn/det	6	afkomst/noun;beweeg_voort/verb;echt/adj	3	afkomst/noun;beweeg_voort/verb;echt/adj	3	afkomst/noun;beweeg_voort/verb;echt/adj	3	afkomst/noun;beweeg_voort/verb;echt/adj;zijn/det	4	afkomst/noun;beweeg_voort/verb;echt/adj;zijn/det	4	afkomst/noun;beweeg_voort/verb;echt/adj;zijn/det	4
hoekig/adj/nrc_handelsblad_20010418_100/289	mengsel/noun;ritme/noun;stuw/adj;tint_DIM/noun	4	mengsel/noun;ritme/noun;stuw/adj;tint_DIM/noun	4	mengsel/noun;ritme/noun;stuw/adj;tint_DIM/noun	4	mengsel/noun;met/prep;ritme/noun;stuw/adj;tint_DIM/noun	5	mengsel/noun;met/prep;ritme/noun;stuw/adj;tint_DIM/noun	5	mengsel/noun;met/prep;ritme/noun;stuw/adj;tint_DIM/noun	5	ritme/noun;stuw/adj	2	ritme/noun;stuw/adj	2	ritme/noun;stuw/adj	2	ritme/noun;stuw/adj	2	ritme/noun;stuw/adj	2	ritme/noun;stuw/adj	2
hoekig/adj/nrc_handelsblad_20040305_196/120	ben/verb;doek/noun;patroon/noun;recht/adj;tekening/noun;vrij/adj;zet/verb	7	ben/verb;doek/noun;patroon/noun;recht/adj;tekening/noun;vrij/adj;zet/verb	7	ben/verb;doek/noun;patroon/noun;recht/adj;tekening/noun;vrij/adj;zet/verb	7	ben/verb;die/pron;doek/noun;patroon/noun;recht/adj;tekening/noun;uit/prep;vrij/adj;zet/verb	9	ben/verb;die/pron;doek/noun;patroon/noun;recht/adj;tekening/noun;uit/prep;vrij/adj;zet/verb	9	ben/verb;die/pron;doek/noun;patroon/noun;recht/adj;tekening/noun;uit/prep;vrij/adj;zet/verb	9	ben/verb;doek/noun;patroon/noun;recht/adj;vrij/adj;zet/verb	6	ben/verb;doek/noun;patroon/noun;recht/adj;vrij/adj;zet/verb	6	ben/verb;doek/noun;patroon/noun;recht/adj;vrij/adj;zet/verb	6	ben/verb;die/pron;doek/noun;patroon/noun;recht/adj;vrij/adj;zet/verb	7	ben/verb;die/pron;doek/noun;patroon/noun;recht/adj;vrij/adj;zet/verb	7	ben/verb;die/pron;doek/noun;patroon/noun;recht/adj;vrij/adj;zet/verb	7
hoekig/adj/nrc_handelsblad_19991203_86/232	draad/noun;exact/adj;geleid/verb;rood/adj;werkwijze/noun	5	draad/noun;exact/adj;geleid/verb;rood/adj;werkwijze/noun	5	draad/noun;exact/adj;geleid/verb;rood/adj;werkwijze/noun	5	als/prep;die/pron;door/prep;draad/noun;een/det;exact/adj;geleid/verb;juist/adv;rood/adj;steeds/adv;werkwijze/noun;zijn/det	12	als/prep;die/pron;door/prep;draad/noun;een/det;exact/adj;geleid/verb;juist/adv;rood/adj;steeds/adv;werkwijze/noun;zijn/det	12	als/prep;die/pron;door/prep;draad/noun;een/det;exact/adj;geleid/verb;juist/adv;rood/adj;steeds/adv;werkwijze/noun;zijn/det	12	geleid/verb	1	geleid/verb	1	geleid/verb	1	die/pron;geleid/verb;steeds/adv	3	die/pron;geleid/verb;steeds/adv	3	die/pron;geleid/verb;steeds/adv	3
hoekig/adj/nrc_handelsblad_20020426_194/1308	ben/verb;bitter/adj;man/noun;nors/adj;rauw/adj;wijze/noun;zwijg/adj	7	ben/verb;bitter/adj;man/noun;nors/adj;rauw/adj;wijze/noun;zwijg/adj	7	ben/verb;bitter/adj;man/noun;nors/adj;rauw/adj;wijze/noun;zwijg/adj	7	ben/verb;bitter/adj;man/noun;nors/adj;rauw/adj;wijze/noun;zwijg/adj	7	ben/verb;bitter/adj;man/noun;nors/adj;rauw/adj;wijze/noun;zwijg/adj	7	ben/verb;bitter/adj;man/noun;nors/adj;rauw/adj;wijze/noun;zwijg/adj	7	ben/verb;bitter/adj;nors/adj;rauw/adj;wijze/noun	5	ben/verb;bitter/adj;nors/adj;rauw/adj;wijze/noun	5	ben/verb;bitter/adj;nors/adj;rauw/adj;wijze/noun	5	ben/verb;bitter/adj;nors/adj;rauw/adj;wijze/noun	5	ben/verb;bitter/adj;nors/adj;rauw/adj;wijze/noun	5	ben/verb;bitter/adj;nors/adj;rauw/adj;wijze/noun	5
hoekig/adj/nrc_handelsblad_20020503_157/1478	ben/verb;ruig/adj;stijl/noun	3	ben/verb;ruig/adj;stijl/noun	3	ben/verb;ruig/adj;stijl/noun	3	ben/verb;ruig/adj;stijl/noun;zijn/det	4	ben/verb;ruig/adj;stijl/noun;zijn/det	4	ben/verb;ruig/adj;stijl/noun;zijn/det	4	ben/verb;ruig/adj;stijl/noun	3	ben/verb;ruig/adj;stijl/noun	3	ben/verb;ruig/adj;stijl/noun	3	ben/verb;ruig/adj;stijl/noun;zijn/det	4	ben/verb;ruig/adj;stijl/noun;zijn/det	4	ben/verb;ruig/adj;stijl/noun;zijn/det	4
hoekig/adj/nrc_handelsblad_20020928_84/804	gekomen/adj;moeizaam/adj;op_licht_rij/noun;verfilming/noun	4	gekomen/adj;moeizaam/adj;op_licht_rij/noun;verfilming/noun	4	gekomen/adj;moeizaam/adj;op_licht_rij/noun;verfilming/noun	4	gekomen/adj;maar/adv;moeizaam/adj;op_licht_rij/noun;verfilming/noun	5	gekomen/adj;maar/adv;moeizaam/adj;op_licht_rij/noun;verfilming/noun	5	gekomen/adj;maar/adv;moeizaam/adj;op_licht_rij/noun;verfilming/noun	5	gekomen/adj;moeizaam/adj;verfilming/noun	3	gekomen/adj;moeizaam/adj;verfilming/noun	3	gekomen/adj;moeizaam/adj;verfilming/noun	3	gekomen/adj;moeizaam/adj;verfilming/noun	3	gekomen/adj;moeizaam/adj;verfilming/noun	3	gekomen/adj;moeizaam/adj;verfilming/noun	3
