_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
horde.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.24066548476678656	-0.03957796671042599	623	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	273	horde	0.22845874015393455
horde.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.2653311556755715	-0.06460428628189345	623	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	273	horde	0.23484476517190145
horde.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.2397055645364799	-0.05214438170753759	623	1	nav	bound	ppmi_weight	10_10	foc	623	nav	4_4	273	horde	0.2544947328110877
horde.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.2066463442051774	-0.027797720994935986	623	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	273	horde	0.2189017359836162
horde.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.21808942647580287	-0.04514666727878355	623	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	273	horde	0.22382987544717717
horde.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.19947620621139955	-0.04045561034722733	623	1	nav	bound	ppmi_weight	10_10	foc	623	nav	10_10	273	horde	0.2393290897894979
horde.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.23388676673590733	-0.03363838374205525	623	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	4_4	273	horde	0.22796904420134637
horde.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.2535860906884379	-0.05377074396381561	623	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	4_4	273	horde	0.23266274084013114
horde.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.2397055645365577	-0.052144381707187035	623	1	nav	bound	ppmi_weight	10_10	foc	623	all	4_4	273	horde	0.2544947328110877
horde.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.20303376397171063	-0.018744912192946696	623	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	10_10	273	horde	0.2200545065857151
horde.foc10.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.20819606957303255	-0.0343711912568269	623	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	10_10	273	horde	0.219967978957829
horde.foc10.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.19947620621143095	-0.04045561034760127	623	1	nav	bound	ppmi_weight	10_10	foc	623	all	10_10	273	horde	0.2393290897894979
horde.foc10.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.047919686689169426	0.09159710455059292	623	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	273	horde	0.22530778091978934
horde.foc10.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.057602421730715385	0.10628719359752731	623	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	273	horde	0.22807675713634432
horde.foc10.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.0828597251620675	0.060096741773420066	623	1	nav	bound	ppmi_sel	10_10	foc	623	nav	4_4	273	horde	0.24027502843596704
horde.foc10.nav.ppmi_sel.bound.min1.soc10.nav.5000	-0.03319726971530549	0.09667470024059048	623	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	273	horde	0.21485061682489032
horde.foc10.nav.ppmi_sel.bound.min1.soc10.nav.10000	-0.03175998788118192	0.08966880803515291	623	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	273	horde	0.2172998867113583
horde.foc10.nav.ppmi_sel.bound.min1.soc10.nav.foc	-0.0667242707283125	0.05353199798284782	623	1	nav	bound	ppmi_sel	10_10	foc	623	nav	10_10	273	horde	0.22203326825354888
horde.foc10.nav.ppmi_sel.bound.min1.soc4.all.5000	-0.03987863007116964	0.09144218876960165	623	1	nav	bound	ppmi_sel	10_10	5000	5e3	all	4_4	273	horde	0.2234658246005077
horde.foc10.nav.ppmi_sel.bound.min1.soc4.all.10000	-0.04572725870054066	0.09526886413948585	623	1	nav	bound	ppmi_sel	10_10	10000	1e4	all	4_4	273	horde	0.2262166916565817
horde.foc10.nav.ppmi_sel.bound.min1.soc4.all.foc	-0.0828597251620675	0.060096741773420066	623	1	nav	bound	ppmi_sel	10_10	foc	623	all	4_4	273	horde	0.24027502843596704
horde.foc10.nav.ppmi_sel.bound.min1.soc10.all.5000	-0.030290007580850355	0.10548165789689419	623	1	nav	bound	ppmi_sel	10_10	5000	5e3	all	10_10	273	horde	0.2154529116790401
horde.foc10.nav.ppmi_sel.bound.min1.soc10.all.10000	-0.02886729974770687	0.09146786027664994	623	1	nav	bound	ppmi_sel	10_10	10000	1e4	all	10_10	273	horde	0.2138338280806272
horde.foc10.nav.ppmi_sel.bound.min1.soc10.all.foc	-0.06672427072841995	0.053531997983108315	623	1	nav	bound	ppmi_sel	10_10	foc	623	all	10_10	273	horde	0.22203326825354888
horde.foc10.nav.no_ppmi.bound.min1.soc4.nav.5000	0.09069798564822677	0.23629717150155355	863	1	nav	bound	no_ppmi	10_10	5000	5e3	nav	4_4	277	horde	0.20861269098071775
horde.foc10.nav.no_ppmi.bound.min1.soc4.nav.10000	0.09051346223053842	0.2579217196430662	863	1	nav	bound	no_ppmi	10_10	10000	1e4	nav	4_4	277	horde	0.21041240474118222
horde.foc10.nav.no_ppmi.bound.min1.soc4.nav.foc	0.037905944407460895	0.18991889825846167	863	1	nav	bound	no_ppmi	10_10	foc	863	nav	4_4	277	horde	0.22824769709046336
horde.foc10.nav.no_ppmi.bound.min1.soc10.nav.5000	0.08905463457375311	0.21337595018158848	863	1	nav	bound	no_ppmi	10_10	5000	5e3	nav	10_10	277	horde	0.2070415461228887
horde.foc10.nav.no_ppmi.bound.min1.soc10.nav.10000	0.09495246860800963	0.21396862680663672	863	1	nav	bound	no_ppmi	10_10	10000	1e4	nav	10_10	277	horde	0.20333512020973146
horde.foc10.nav.no_ppmi.bound.min1.soc10.nav.foc	0.0379362861963555	0.16594045580970646	863	1	nav	bound	no_ppmi	10_10	foc	863	nav	10_10	277	horde	0.21609384049973532
horde.foc10.nav.no_ppmi.bound.min1.soc4.all.5000	0.10668403678282885	0.24319732896344787	863	1	nav	bound	no_ppmi	10_10	5000	5e3	all	4_4	277	horde	0.20438294276942032
horde.foc10.nav.no_ppmi.bound.min1.soc4.all.10000	0.0984746656288583	0.24445863459295591	863	1	nav	bound	no_ppmi	10_10	10000	1e4	all	4_4	277	horde	0.20858965907674515
horde.foc10.nav.no_ppmi.bound.min1.soc4.all.foc	0.03790594376720056	0.1899188977600515	863	1	nav	bound	no_ppmi	10_10	foc	863	all	4_4	277	horde	0.22824769709046336
horde.foc10.nav.no_ppmi.bound.min1.soc10.all.5000	0.10017019920494781	0.22710471819102468	863	1	nav	bound	no_ppmi	10_10	5000	5e3	all	10_10	277	horde	0.20674458414030683
horde.foc10.nav.no_ppmi.bound.min1.soc10.all.10000	0.09544480416548091	0.20942833544185788	863	1	nav	bound	no_ppmi	10_10	10000	1e4	all	10_10	277	horde	0.20156946491954794
horde.foc10.nav.no_ppmi.bound.min1.soc10.all.foc	0.0379362861963555	0.16594045580970646	863	1	nav	bound	no_ppmi	10_10	foc	863	all	10_10	277	horde	0.21609384049973532
horde.foc10.all.ppmi_weight.bound.min1.soc4.nav.5000	-0.13642974208163838	-0.10666650414705535	720	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	280	horde	0.21213668826962928
horde.foc10.all.ppmi_weight.bound.min1.soc4.nav.10000	-0.15426854739439538	-0.13765523383770722	720	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	280	horde	0.22258418274259195
horde.foc10.all.ppmi_weight.bound.min1.soc4.nav.foc	-0.12450414102678159	-0.1174472339317264	720	1	all	bound	ppmi_weight	10_10	foc	720	nav	4_4	280	horde	0.2350387799979451
horde.foc10.all.ppmi_weight.bound.min1.soc10.nav.5000	-0.12576035761931004	-0.08200975154038911	720	1	all	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	280	horde	0.206497026418255
horde.foc10.all.ppmi_weight.bound.min1.soc10.nav.10000	-0.14078296172231727	-0.1029955871694358	720	1	all	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	280	horde	0.21245938283872465
horde.foc10.all.ppmi_weight.bound.min1.soc10.nav.foc	-0.1129384933748436	-0.11205491109117809	720	1	all	bound	ppmi_weight	10_10	foc	720	nav	10_10	280	horde	0.2261696870160543
horde.foc10.all.ppmi_weight.bound.min1.soc4.all.5000	-0.12780025504530834	-0.09610282913801439	720	1	all	bound	ppmi_weight	10_10	5000	5e3	all	4_4	280	horde	0.2087734112611303
