pmi	cw
3.8529656	'/det
4.0471005	'72/noun
3.828889	'81/noun
0.35702187	's/adv
1.2988337	's/det
0.9937554	(/noun
1.255684	)/noun
0.47400746	+/prep
4.253452	-niet/noun
3.3580616	-vrouw/noun
3.4608996	-vrouwen/noun
0.26859877	1-2/noun
1.1326402	1./noun
5.994795	1.500^meter/noun
3.2033231	1.500_meter/noun
5.8994846	10.000^m/noun
3.3054178	10.45/noun
2.422976	100/noun
6.521218	100^m/noun
6.30353	100^meter/noun
3.815508	100_meter/noun
4.0230775	100m/noun
2.389229	11-jarige/adj
2.9721773	11.45/noun
3.6299393	110/noun
9.032001	110^m/noun
2.6577804	12-jarigen/adj
4.3660445	12.40/noun
3.948393	12.45/noun
1.6439042	14.00/noun
5.946005	14.04/noun
3.934069	14.45/noun
1.2381489	15.30/noun
6.1728754	1500^m/noun
3.2579951	1500_meter/noun
5.8994846	1552/noun
3.0474653	18-jarigen/adj
2.602218	1870/noun
0.6276396	19-jarige/adj
3.5686655	19.40/noun
1.0259717	19.45/noun
2.9314623	1903/noun
1.609212	1920/noun
2.0620382	1922/noun
1.395517	1933/noun
2.0812979	1939/noun
0.88359046	1940/noun
1.3072386	1942/noun
0.89154994	1948/noun
1.8767338	1952/noun
0.806683	1962/noun
0.85326284	1963/noun
1.5335816	1964/noun
0.78517205	1965/noun
0.7786506	1966/noun
0.7534844	1980/noun
0.41288814	1981/noun
0.2828458	1983/noun
0.29612958	1989/noun
0.08570357	1991/noun
0.77802145	1996/noun
4.8577633	1m70/noun
5.8187428	2.12/noun
0.8283816	20.00/noun
4.2102838	200^m/noun
2.3945417	200_meter/noun
0.47117624	21-jarige/adj
0.53315824	22-jarige/adj
0.57524484	24-jarige/adj
0.40291893	24/noun
5.2757363	25-koppige/adj
0.67410463	26-jarige/adj
1.966234	3-6/noun
0.86029136	30-jarige/adj
4.3684998	3000/noun
8.331282	300^m/noun
7.30935	300_meter/noun
0.8226361	31-jarige/adj
1.6606791	34-jarige/adj
1.027522	4/noun
2.0395687	400/noun
7.7589965	400^m/noun
8.208911	400^meter/noun
4.7472496	400_meter/noun
1.7465496	47-jarige/adj
1.7879404	49-jarige/adj
4.6717067	4x100/noun
2.4259665	5-7/noun
3.358957	5-jarige/adj
2.144275	58-jarige/adj
1.4043323	6-3/noun
2.7522025	6-7/noun
1.978029	6./noun
3.4797227	60/noun
5.072522	600_punt_grens/noun
7.8237557	60^m/noun
4.0679946	60_meter/noun
4.781367	60m/noun
1.7048492	65-plussers/noun
1.2743782	7-5/noun
1.7567829	7-6/noun
2.2937398	71-jarige/adj
2.2335947	72-jarige/adj
2.7464087	75-jarige/adj
2.4719453	8./noun
5.8124733	8.46/noun
4.646722	800^m/noun
3.2010257	800_meter/noun
5.0489454	800m/noun
7.6406	80_meter/noun
1.4139942	9./noun
2.9663534	ABN/noun
0.5643971	AEX-index/noun
4.8706775	ATP_circuit/noun
0.70195496	Afghaans/adj
0.7194263	Afrikaan/noun
0.38023525	Afrikaans/adj
3.6503482	Aida/noun
5.5662646	Ajax_hooligan/noun
4.2222466	Ajax_supporter/noun
6.535221	Akela/noun
4.1365457	Akropolis/noun
1.0656588	Algerijns/adj
5.118285	Allerheiligen/noun
6.9205046	Alozie/noun
0.15274519	Amerikaan/noun
0.19279797	Amerikaans/adj
4.476924	Amro_toernooi/noun
0.54484063	Amsterdammer/noun
0.6113992	Amsterdams/adj
5.6266856	Andorrese/adj
1.4667757	Angelsaksisch/adj
5.810392	Antwerpfans/noun
2.6531706	Antwerps_steen_weg/noun
1.2951784	Arabier/noun
4.093807	Arca/noun
1.7897291	Argentijn/noun
4.2339244	Aspe/noun
0.94198245	Australisch/adj
0.23542786	Australiër/noun
5.5926685	Autobahnen/noun
1.8264643	Aziaat/noun
1.5123291	Aziatisch/adj
6.2179384	BTW_vrijstelling/noun
6.592632	B_race/noun
4.2791967	Bastille/noun
6.2179384	Bayens/noun
0.26082343	Belgisch/adj
3.7599535	Belgisch/det
2.9360878	België/det
5.4252286	Berchem_station/noun
4.102436	Berlijners/noun
0.9406053	Berlijns/adj
3.547893	Blok_kiezer/noun
6.161735	Bonduelle/noun
2.218305	Bosniër/noun
2.054719	Bosuil/noun
0.21329543	Brabants/adj
4.9732437	Brakelaars/noun
0.2587065	Braziliaan/noun
3.0759437	Breese/adj
5.181645	Breydelstad/noun
1.3558925	Brit/noun
1.765264	Brusselaar/noun
1.0394961	Brusselaars/noun
1.1073823	Bulgaars/adj
2.6095574	Burundees/adj
5.286759	Byzantijnen/noun
4.3989487	CAC-40_index/noun
0.9231272	Canadees/noun
1.3945618	Catalaans/adj
1.7542957	Celsius/noun
1.8693554	China/det
0.4091467	Chinees/adj
2.6606278	Cubaan/noun
0.40614265	Cubaans/adj
3.1474175	D66_leider/noun
1.3982744	Deen/noun
1.4662627	Deens/adj
3.2880788	Detiège/noun
6.592632	Devers/noun
2.7840016	Dilbeekse/adj
4.66772	Dilbekenaar/noun
4.1656194	Discus/noun
5.067564	Doema_verkiezing/noun
2.0205956	Dow/noun
0.84124315	Dow_Jones-index/noun
1.8940127	Drents/adj
4.702468	Duff/noun
5.946005	Duffelse/noun
1.4069161	Duitser/noun
5.5760846	Duivelsberg/noun
6.1691484	Durgerdammerdijk/noun
1.4806486	EK/noun
4.4065804	EK_eindronde/noun
3.4261982	EK_finale/noun
4.2626967	EK_limiet/noun
4.9759474	EK_minimum/noun
3.3268723	EU_uitbreiding/noun
5.6965437	EU_vergadering/noun
0.927321	Engels/adj
1.4244038	Engelsman/noun
6.1721287	Euronext_index/noun
0.031742617	Europeaan/noun
0.08350496	Europees/adj
5.231655	Evelyne/noun
6.2210684	Ferrari_fan/noun
1.61331	Fin/noun
3.849156	Flanders/noun
5.9155216	Ford_dealer/noun
2.0122201	Fortuyn/det
5.1414437	Fortuyn_aanhanger/noun
4.782854	Frankisch/adj
0.50489163	Fransman/noun
1.096983	Fries/adj
4.583808	Galapagos_eiland/noun
4.4813175	Gaudí/det
2.4057012	Gelders/adj
3.798126	Germaan/noun
2.1830342	Germaans/adj
5.379609	Gideonsbende/noun
5.9483886	Gitte/noun
3.4473047	Gooise/adj
1.8178723	Grand/noun
5.7114973	Grieks-Cyprus/noun
0.5762825	Grieks/adj
5.676341	Grimbergenaar/noun
0.6717849	Gronings/adj
1.0243177	Haags/adj
3.1304533	Hamburgse/adj
2.8835042	Haïtiaans/adj
4.863393	Heiligeweg/noun
2.3525486	Herentalse/adj
4.5734954	Hezbollah_strijder/noun
6.592632	Hickey/noun
5.229327	Himalaya_gebergte/noun
1.7296181	Hollander/noun
0.9928135	Hollands/adj
3.6743698	Hollywood_film/noun
1.3307427	Hongaar/noun
