_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
staal.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.15790570263994938	-0.05858449700459468	754	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	320	staal	0.21442552968797346
staal.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.17506849996285032	-0.07170980188604945	754	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	320	staal	0.2134389554029513
staal.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.23205863284855877	-0.05550203964518646	754	1	nav	bound	ppmi_weight	10_10	foc	754	nav	4_4	320	staal	0.21376668757342052
staal.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.14698362650205712	-0.04910517238030529	754	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	320	staal	0.20521257477845206
staal.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.14556220208119744	-0.0514263030570608	754	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	320	staal	0.20711151066505556
staal.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.2383792366376105	-0.07605394569547326	754	1	nav	bound	ppmi_weight	10_10	foc	754	nav	10_10	320	staal	0.20362072947362433
staal.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.14972003865575229	-0.06585179562457623	754	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	4_4	320	staal	0.21560845313314778
staal.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.15756987209662446	-0.06418436138847024	754	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	4_4	320	staal	0.21490161368155924
staal.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.2320586328485571	-0.05550203964518289	754	1	nav	bound	ppmi_weight	10_10	foc	754	all	4_4	320	staal	0.21376668757342052
staal.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.15160430799872862	-0.05990874013574305	754	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	10_10	320	staal	0.20541947632968843
staal.foc10.nav.ppmi_weight.bound.min1.soc10.all.10000	-0.1398068453500117	-0.04866441298343531	754	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	10_10	320	staal	0.20818425706221552
staal.foc10.nav.ppmi_weight.bound.min1.soc10.all.foc	-0.2383792366376105	-0.07605394569547326	754	1	nav	bound	ppmi_weight	10_10	foc	754	all	10_10	320	staal	0.20362072947362433
staal.foc10.nav.ppmi_sel.bound.min1.soc4.nav.5000	-0.0594540531440398	-0.08498175037719863	754	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	4_4	320	staal	0.2272799989152098
staal.foc10.nav.ppmi_sel.bound.min1.soc4.nav.10000	-0.05059932117409742	-0.13324729753288528	754	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	4_4	320	staal	0.22763395978031964
staal.foc10.nav.ppmi_sel.bound.min1.soc4.nav.foc	-0.16397826295933185	-0.0350759279016237	754	1	nav	bound	ppmi_sel	10_10	foc	754	nav	4_4	320	staal	0.21183342965554272
staal.foc10.nav.ppmi_sel.bound.min1.soc10.nav.5000	-0.06350846640693948	-0.06961349943817523	754	1	nav	bound	ppmi_sel	10_10	5000	5e3	nav	10_10	320	staal	0.21189765989620157
staal.foc10.nav.ppmi_sel.bound.min1.soc10.nav.10000	-0.05876935220636721	-0.06461197506431812	754	1	nav	bound	ppmi_sel	10_10	10000	1e4	nav	10_10	320	staal	0.21260434136616252
staal.foc10.nav.ppmi_sel.bound.min1.soc10.nav.foc	-0.1940226290760415	-0.0382234350123749	754	1	nav	bound	ppmi_sel	10_10	foc	754	nav	10_10	320	staal	0.19944184216984467
staal.foc10.nav.ppmi_sel.bound.min1.soc4.all.5000	-0.05420806410259158	-0.12299208715992127	754	1	nav	bound	ppmi_sel	10_10	5000	5e3	all	4_4	320	staal	0.2301222123565944
staal.foc10.nav.ppmi_sel.bound.min1.soc4.all.10000	-0.05053821345675427	-0.1348390443614144	754	1	nav	bound	ppmi_sel	10_10	10000	1e4	all	4_4	320	staal	0.22986358150407774
staal.foc10.nav.ppmi_sel.bound.min1.soc4.all.foc	-0.16397826295933182	-0.03507592790162367	754	1	nav	bound	ppmi_sel	10_10	foc	754	all	4_4	320	staal	0.21183342965554272
staal.foc10.nav.ppmi_sel.bound.min1.soc10.all.5000	-0.0647358461278758	-0.07848362601124304	754	1	nav	bound	ppmi_sel	10_10	5000	5e3	all	10_10	320	staal	0.2133450256614975
staal.foc10.nav.ppmi_sel.bound.min1.soc10.all.10000	-0.06152704179822586	-0.07263586944275223	754	1	nav	bound	ppmi_sel	10_10	10000	1e4	all	10_10	320	staal	0.21551569401730045
