_model	model.x	model.y	foc_length	foc_minimum_features	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_part_of_speech	soc_window	tokens	type	stress
stof.foc10.nav.ppmi_weight.bound.min1.soc4.nav.5000	-0.1725515026925366	-0.04228138516230098	728	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	4_4	317	stof	0.23287994290179337
stof.foc10.nav.ppmi_weight.bound.min1.soc4.nav.10000	-0.18193655444061863	-0.06486146338664259	728	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	4_4	317	stof	0.23217046837767308
stof.foc10.nav.ppmi_weight.bound.min1.soc4.nav.foc	-0.20397794475657816	-0.07458428505627526	728	1	nav	bound	ppmi_weight	10_10	foc	728	nav	4_4	317	stof	0.23064271285660926
stof.foc10.nav.ppmi_weight.bound.min1.soc10.nav.5000	-0.17015407858092566	-0.025488968518659855	728	1	nav	bound	ppmi_weight	10_10	5000	5e3	nav	10_10	317	stof	0.22202484934814387
stof.foc10.nav.ppmi_weight.bound.min1.soc10.nav.10000	-0.1711227634921574	-0.05084958642844693	728	1	nav	bound	ppmi_weight	10_10	10000	1e4	nav	10_10	317	stof	0.22459583313742953
stof.foc10.nav.ppmi_weight.bound.min1.soc10.nav.foc	-0.21583687792792686	-0.08763782588160027	728	1	nav	bound	ppmi_weight	10_10	foc	728	nav	10_10	317	stof	0.21809887457372545
stof.foc10.nav.ppmi_weight.bound.min1.soc4.all.5000	-0.17594456341594206	-0.038909447855376506	728	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	4_4	317	stof	0.23744435791924634
stof.foc10.nav.ppmi_weight.bound.min1.soc4.all.10000	-0.17987855228491223	-0.059950837535774834	728	1	nav	bound	ppmi_weight	10_10	10000	1e4	all	4_4	317	stof	0.23296695692566066
stof.foc10.nav.ppmi_weight.bound.min1.soc4.all.foc	-0.20397794475658043	-0.07458428505626577	728	1	nav	bound	ppmi_weight	10_10	foc	728	all	4_4	317	stof	0.22871961748076336
stof.foc10.nav.ppmi_weight.bound.min1.soc10.all.5000	-0.17354128955858916	-0.021836826790572354	728	1	nav	bound	ppmi_weight	10_10	5000	5e3	all	10_10	317	stof	0.2245253702262157
