_id	_cws.zwart.foc10.nav.weight.bound	_cws.zwart.foc10.nav.selection.bound	_cws.zwart.foc10.nav.noweight.bound	_cws.zwart.foc10.all.weight.bound	_cws.zwart.foc10.all.selection.bound	_cws.zwart.foc10.all.noweight.bound	_cws.zwart.foc5.nav.weight.bound	_cws.zwart.foc5.nav.selection.bound	_cws.zwart.foc5.nav.noweight.bound	_cws.zwart.foc5.all.weight.bound	_cws.zwart.foc5.all.selection.bound	_cws.zwart.foc5.all.noweight.bound	_cws.zwart.foc10.nav.weight.nobound	_cws.zwart.foc10.nav.selection.nobound	_cws.zwart.foc10.nav.noweight.nobound	_cws.zwart.foc10.all.weight.nobound	_cws.zwart.foc10.all.selection.nobound	_cws.zwart.foc10.all.noweight.nobound	_cws.zwart.foc5.nav.weight.nobound	_cws.zwart.foc5.nav.selection.nobound	_cws.zwart.foc5.nav.noweight.nobound	_cws.zwart.foc5.all.weight.nobound	_cws.zwart.foc5.all.selection.nobound	_cws.zwart.foc5.all.noweight.nobound
zwart/adj/algemeen_dagblad_19990514_138/556	ben/verb;eigenzinnig/adj;heb/verb;kip/noun;vriend/noun;zo/adj	ben/verb;eigenzinnig/adj;heb/verb;kip/noun;vriend/noun;zo/adj	ben/verb;eigenzinnig/adj;heb/verb;kip/noun;vriend/noun;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;haar/det;heb/verb;kip/noun;mij/pron;van/prep;vriend/noun;ze/pron;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;haar/det;heb/verb;kip/noun;mij/pron;van/prep;vriend/noun;ze/pron;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;haar/det;heb/verb;kip/noun;mij/pron;van/prep;vriend/noun;ze/pron;zo/adj	ben/verb;eigenzinnig/adj;kip/noun;vriend/noun;zo/adj	ben/verb;eigenzinnig/adj;kip/noun;vriend/noun;zo/adj	ben/verb;eigenzinnig/adj;kip/noun;vriend/noun;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;kip/noun;mij/pron;van/prep;vriend/noun;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;kip/noun;mij/pron;van/prep;vriend/noun;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;kip/noun;mij/pron;van/prep;vriend/noun;zo/adj	ben/verb;eigenzinnig/adj;heb/verb;kip/noun;vriend/noun;zo/adj	ben/verb;eigenzinnig/adj;heb/verb;kip/noun;vriend/noun;zo/adj	ben/verb;eigenzinnig/adj;heb/verb;kip/noun;vriend/noun;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;haar/det;heb/verb;kip/noun;mij/pron;van/prep;vriend/noun;ze/pron;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;haar/det;heb/verb;kip/noun;mij/pron;van/prep;vriend/noun;ze/pron;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;haar/det;heb/verb;kip/noun;mij/pron;van/prep;vriend/noun;ze/pron;zo/adj	ben/verb;eigenzinnig/adj;kip/noun;vriend/noun;zo/adj	ben/verb;eigenzinnig/adj;kip/noun;vriend/noun;zo/adj	ben/verb;eigenzinnig/adj;kip/noun;vriend/noun;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;kip/noun;mij/pron;van/prep;vriend/noun;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;kip/noun;mij/pron;van/prep;vriend/noun;zo/adj	ben/verb;die/pron;een/det;eigenzinnig/adj;kip/noun;mij/pron;van/prep;vriend/noun;zo/adj
zwart/adj/algemeen_dagblad_19990820_33/1304	bevolking/noun;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb	bevolking/noun;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb	bevolking/noun;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb	bevolking/noun;de/det;die/pron;in/prep;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb;zelfs/adv;zich/pron;zo/adv	bevolking/noun;de/det;die/pron;in/prep;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb;zelfs/adv;zich/pron;zo/adv	bevolking/noun;de/det;die/pron;in/prep;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb;zelfs/adv;zich/pron;zo/adv	bevolking/noun;laat/verb;vroeg/adj;zak/verb	bevolking/noun;laat/verb;vroeg/adj;zak/verb	bevolking/noun;laat/verb;vroeg/adj;zak/verb	bevolking/noun;de/det;die/pron;in/prep;laat/verb;vroeg/adj;zak/verb;zo/adv	bevolking/noun;de/det;die/pron;in/prep;laat/verb;vroeg/adj;zak/verb;zo/adv	bevolking/noun;de/det;die/pron;in/prep;laat/verb;vroeg/adj;zak/verb;zo/adv	afdeling/noun;bevolking/noun;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb	afdeling/noun;bevolking/noun;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb	afdeling/noun;bevolking/noun;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb	afdeling/noun;bevolking/noun;de/det;die/pron;in/prep;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb;zelfs/adv;zich/pron;zijn/det;zo/adv	afdeling/noun;bevolking/noun;de/det;die/pron;in/prep;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb;zelfs/adv;zich/pron;zijn/det;zo/adv	afdeling/noun;bevolking/noun;de/det;die/pron;in/prep;kan/verb;laat/verb;meld/verb;vroeg/adj;zak/verb;zelfs/adv;zich/pron;zijn/det;zo/adv	bevolking/noun;laat/verb;vroeg/adj;zak/verb	bevolking/noun;laat/verb;vroeg/adj;zak/verb	bevolking/noun;laat/verb;vroeg/adj;zak/verb	bevolking/noun;de/det;die/pron;in/prep;laat/verb;vroeg/adj;zak/verb;zo/adv	bevolking/noun;de/det;die/pron;in/prep;laat/verb;vroeg/adj;zak/verb;zo/adv	bevolking/noun;de/det;die/pron;in/prep;laat/verb;vroeg/adj;zak/verb;zo/adv
zwart/adj/algemeen_dagblad_19991027_31/338	gat/noun;ontsta/verb;vertrek/noun;voorganger/noun	gat/noun;ontsta/verb;vertrek/noun;voorganger/noun	gat/noun;ontsta/verb;vertrek/noun;voorganger/noun	een/det;er/adv;gat/noun;haar/det;het/det;met/prep;ontsta/verb;van/prep;vertrek/noun;voorganger/noun	een/det;er/adv;gat/noun;haar/det;het/det;met/prep;ontsta/verb;van/prep;vertrek/noun;voorganger/noun	een/det;er/adv;gat/noun;haar/det;het/det;met/prep;ontsta/verb;van/prep;vertrek/noun;voorganger/noun	gat/noun;ontsta/verb;voorganger/noun	gat/noun;ontsta/verb;voorganger/noun	gat/noun;ontsta/verb;voorganger/noun	een/det;gat/noun;haar/det;ontsta/verb;voorganger/noun	een/det;gat/noun;haar/det;ontsta/verb;voorganger/noun	een/det;gat/noun;haar/det;ontsta/verb;voorganger/noun	gat/noun;ontsta/verb;vertrek/noun;voorganger/noun	gat/noun;ontsta/verb;vertrek/noun;voorganger/noun	gat/noun;ontsta/verb;vertrek/noun;voorganger/noun	een/det;er/adv;gat/noun;haar/det;het/det;met/prep;ontsta/verb;van/prep;vertrek/noun;voorganger/noun;zich/pron	een/det;er/adv;gat/noun;haar/det;het/det;met/prep;ontsta/verb;van/prep;vertrek/noun;voorganger/noun;zich/pron	een/det;er/adv;gat/noun;haar/det;het/det;met/prep;ontsta/verb;van/prep;vertrek/noun;voorganger/noun;zich/pron	gat/noun;ontsta/verb;voorganger/noun	gat/noun;ontsta/verb;voorganger/noun	gat/noun;ontsta/verb;voorganger/noun	een/det;gat/noun;haar/det;ontsta/verb;voorganger/noun	een/det;gat/noun;haar/det;ontsta/verb;voorganger/noun	een/det;gat/noun;haar/det;ontsta/verb;voorganger/noun
zwart/adj/algemeen_dagblad_19991028_50/242	bloem/noun;extra/adj;peper/noun;vermengd/adj;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;vermengd/adj;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;vermengd/adj;versgemalen/adj;water/noun	bloem/noun;extra/adj;met/prep;peper/noun;vermengd/adj;versgemalen/adj;water/noun	bloem/noun;extra/adj;met/prep;peper/noun;vermengd/adj;versgemalen/adj;water/noun	bloem/noun;extra/adj;met/prep;peper/noun;vermengd/adj;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;boter/noun;extra/adj;peper/noun;vermengd/adj;versgemalen/adj;water/noun;wrijf/verb	bloem/noun;boter/noun;extra/adj;peper/noun;vermengd/adj;versgemalen/adj;water/noun;wrijf/verb	bloem/noun;boter/noun;extra/adj;peper/noun;vermengd/adj;versgemalen/adj;water/noun;wrijf/verb	bloem/noun;boter/noun;de/det;extra/adj;fijn/part;met/prep;peper/noun;vermengd/adj;versgemalen/adj;water/noun;wrijf/verb	bloem/noun;boter/noun;de/det;extra/adj;fijn/part;met/prep;peper/noun;vermengd/adj;versgemalen/adj;water/noun;wrijf/verb	bloem/noun;boter/noun;de/det;extra/adj;fijn/part;met/prep;peper/noun;vermengd/adj;versgemalen/adj;water/noun;wrijf/verb	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun	bloem/noun;extra/adj;peper/noun;versgemalen/adj;water/noun
zwart/adj/algemeen_dagblad_19991214_106/490	christelijk/adj;islamitisch/adj;noorden/noun;zuiden/noun	christelijk/adj;islamitisch/adj;noorden/noun;zuiden/noun	christelijk/adj;islamitisch/adj;noorden/noun;zuiden/noun	christelijk/adj;het/det;islamitisch/adj;noorden/noun;zuiden/noun	christelijk/adj;het/det;islamitisch/adj;noorden/noun;zuiden/noun	christelijk/adj;het/det;islamitisch/adj;noorden/noun;zuiden/noun	christelijk/adj;zuiden/noun	christelijk/adj;zuiden/noun	christelijk/adj;zuiden/noun	christelijk/adj;het/det;zuiden/noun	christelijk/adj;het/det;zuiden/noun	christelijk/adj;het/det;zuiden/noun	christelijk/adj;heb/verb;islamitisch/adj;mens/noun;miljoen/noun;noorden/noun;zuiden/noun	christelijk/adj;heb/verb;islamitisch/adj;mens/noun;miljoen/noun;noorden/noun;zuiden/noun	christelijk/adj;heb/verb;islamitisch/adj;mens/noun;miljoen/noun;noorden/noun;zuiden/noun	christelijk/adj;de/det;heb/verb;het/det;islamitisch/adj;mens/noun;miljoen/noun;minste/adv;noorden/noun;ten/adv;zuiden/noun	christelijk/adj;de/det;heb/verb;het/det;islamitisch/adj;mens/noun;miljoen/noun;minste/adv;noorden/noun;ten/adv;zuiden/noun	christelijk/adj;de/det;heb/verb;het/det;islamitisch/adj;mens/noun;miljoen/noun;minste/adv;noorden/noun;ten/adv;zuiden/noun	christelijk/adj;heb/verb;zuiden/noun	christelijk/adj;heb/verb;zuiden/noun	christelijk/adj;heb/verb;zuiden/noun	christelijk/adj;de/det;heb/verb;het/det;zuiden/noun	christelijk/adj;de/det;heb/verb;het/det;zuiden/noun	christelijk/adj;de/det;heb/verb;het/det;zuiden/noun
zwart/adj/algemeen_dagblad_20000214_65/300	karig/adj;lek/adj;peper/noun;versgemalen/adj;zout/adj	karig/adj;lek/adj;peper/noun;versgemalen/adj;zout/adj	karig/adj;lek/adj;peper/noun;versgemalen/adj;zout/adj	karig/adj;lek/adj;met/prep;peper/noun;versgemalen/adj;wat/det;ze/pron;zout/adj	karig/adj;lek/adj;met/prep;peper/noun;versgemalen/adj;wat/det;ze/pron;zout/adj	karig/adj;lek/adj;met/prep;peper/noun;versgemalen/adj;wat/det;ze/pron;zout/adj	lek/adj;peper/noun;versgemalen/adj;zout/adj	lek/adj;peper/noun;versgemalen/adj;zout/adj	lek/adj;peper/noun;versgemalen/adj;zout/adj	lek/adj;peper/noun;versgemalen/adj;wat/det;zout/adj	lek/adj;peper/noun;versgemalen/adj;wat/det;zout/adj	lek/adj;peper/noun;versgemalen/adj;wat/det;zout/adj	deksel/noun;karig/adj;leg/verb;lek/adj;minuut/noun;peper/noun;versgemalen/adj;zout/adj	deksel/noun;karig/adj;leg/verb;lek/adj;minuut/noun;peper/noun;versgemalen/adj;zout/adj	deksel/noun;karig/adj;leg/verb;lek/adj;minuut/noun;peper/noun;versgemalen/adj;zout/adj	dan/adv;de/det;deksel/noun;een/det;karig/adj;leg/verb;lek/adj;met/prep;minuut/noun;op/prep;peper/noun;versgemalen/adj;wat/det;ze/pron;zout/adj	dan/adv;de/det;deksel/noun;een/det;karig/adj;leg/verb;lek/adj;met/prep;minuut/noun;op/prep;peper/noun;versgemalen/adj;wat/det;ze/pron;zout/adj	dan/adv;de/det;deksel/noun;een/det;karig/adj;leg/verb;lek/adj;met/prep;minuut/noun;op/prep;peper/noun;versgemalen/adj;wat/det;ze/pron;zout/adj	leg/verb;lek/adj;peper/noun;versgemalen/adj;zout/adj	leg/verb;lek/adj;peper/noun;versgemalen/adj;zout/adj	leg/verb;lek/adj;peper/noun;versgemalen/adj;zout/adj	dan/adv;leg/verb;lek/adj;peper/noun;versgemalen/adj;wat/det;zout/adj	dan/adv;leg/verb;lek/adj;peper/noun;versgemalen/adj;wat/det;zout/adj	dan/adv;leg/verb;lek/adj;peper/noun;versgemalen/adj;wat/det;zout/adj
zwart/adj/algemeen_dagblad_20000310_126/588	ben/verb;bloot/adj;bundel/noun;eenvoud/noun;gekleed/adj;heel/adj	ben/verb;bloot/adj;bundel/noun;eenvoud/noun;gekleed/adj;heel/adj	ben/verb;bloot/adj;bundel/noun;eenvoud/noun;gekleed/adj;heel/adj	ben/verb;bloot/adj;bundel/noun;de/det;eenvoud/noun;gekleed/adj;heel/adj;in/prep;je/pron;uit/prep	ben/verb;bloot/adj;bundel/noun;de/det;eenvoud/noun;gekleed/adj;heel/adj;in/prep;je/pron;uit/prep	ben/verb;bloot/adj;bundel/noun;de/det;eenvoud/noun;gekleed/adj;heel/adj;in/prep;je/pron;uit/prep	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj;in/prep;je/pron	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj;in/prep;je/pron	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj;in/prep;je/pron	ben/verb;bloot/adj;bundel/noun;eenvoud/noun;gekleed/adj;heel/adj;verhaal/noun	ben/verb;bloot/adj;bundel/noun;eenvoud/noun;gekleed/adj;heel/adj;verhaal/noun	ben/verb;bloot/adj;bundel/noun;eenvoud/noun;gekleed/adj;heel/adj;verhaal/noun	ben/verb;bloot/adj;bundel/noun;de/det;dit/det;eenvoud/noun;gekleed/adj;heel/adj;in/prep;je/pron;uit/prep;verhaal/noun	ben/verb;bloot/adj;bundel/noun;de/det;dit/det;eenvoud/noun;gekleed/adj;heel/adj;in/prep;je/pron;uit/prep;verhaal/noun	ben/verb;bloot/adj;bundel/noun;de/det;dit/det;eenvoud/noun;gekleed/adj;heel/adj;in/prep;je/pron;uit/prep;verhaal/noun	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj;je/pron	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj;je/pron	ben/verb;bloot/adj;eenvoud/noun;gekleed/adj;je/pron
zwart/adj/algemeen_dagblad_20000506_74/659	bang/adj;ben/verb;ondervind/verb;praat/verb;verleden/noun	bang/adj;ben/verb;ondervind/verb;praat/verb;verleden/noun	bang/adj;ben/verb;ondervind/verb;praat/verb;verleden/noun	bang/adj;ben/verb;helemaal/adv;het/det;niet/adv;ondervind/verb;over/prep;praat/verb;van/prep;verleden/noun	bang/adj;ben/verb;helemaal/adv;het/det;niet/adv;ondervind/verb;over/prep;praat/verb;van/prep;verleden/noun	bang/adj;ben/verb;helemaal/adv;het/det;niet/adv;ondervind/verb;over/prep;praat/verb;van/prep;verleden/noun	bang/adj;ben/verb;verleden/noun	bang/adj;ben/verb;verleden/noun	bang/adj;ben/verb;verleden/noun	bang/adj;ben/verb;het/det;over/prep;van/prep;verleden/noun	bang/adj;ben/verb;het/det;over/prep;van/prep;verleden/noun	bang/adj;ben/verb;het/det;over/prep;van/prep;verleden/noun	bang/adj;ben/verb;ondervind/verb;praat/verb;verleden/noun	bang/adj;ben/verb;ondervind/verb;praat/verb;verleden/noun	bang/adj;ben/verb;ondervind/verb;praat/verb;verleden/noun	bang/adj;ben/verb;helemaal/adv;het/det;niet/adv;ondervind/verb;over/prep;praat/verb;van/prep;verleden/noun	bang/adj;ben/verb;helemaal/adv;het/det;niet/adv;ondervind/verb;over/prep;praat/verb;van/prep;verleden/noun	bang/adj;ben/verb;helemaal/adv;het/det;niet/adv;ondervind/verb;over/prep;praat/verb;van/prep;verleden/noun	bang/adj;ben/verb;verleden/noun	bang/adj;ben/verb;verleden/noun	bang/adj;ben/verb;verleden/noun	bang/adj;ben/verb;het/det;over/prep;van/prep;verleden/noun	bang/adj;ben/verb;het/det;over/prep;van/prep;verleden/noun	bang/adj;ben/verb;het/det;over/prep;van/prep;verleden/noun
zwart/adj/algemeen_dagblad_20000622_125/124	ander/adj;doe/verb;klimaat/noun;land/noun;niets/noun;vriendelijk/adj	ander/adj;doe/verb;klimaat/noun;land/noun;niets/noun;vriendelijk/adj	ander/adj;doe/verb;klimaat/noun;land/noun;niets/noun;vriendelijk/adj	ander/adj;dat/det;doe/verb;een/det;klimaat/noun;land/noun;met/prep;niet/adv;niets/noun;ook/adv;voor/prep;vriendelijk/adj;zolang/adv	ander/adj;dat/det;doe/verb;een/det;klimaat/noun;land/noun;met/prep;niet/adv;niets/noun;ook/adv;voor/prep;vriendelijk/adj;zolang/adv	ander/adj;dat/det;doe/verb;een/det;klimaat/noun;land/noun;met/prep;niet/adv;niets/noun;ook/adv;voor/prep;vriendelijk/adj;zolang/adv	doe/verb;klimaat/noun;vriendelijk/adj	doe/verb;klimaat/noun;vriendelijk/adj	doe/verb;klimaat/noun;vriendelijk/adj	dat/det;doe/verb;een/det;klimaat/noun;met/prep;niet/adv;ook/adv;voor/prep;vriendelijk/adj	dat/det;doe/verb;een/det;klimaat/noun;met/prep;niet/adv;ook/adv;voor/prep;vriendelijk/adj	dat/det;doe/verb;een/det;klimaat/noun;met/prep;niet/adv;ook/adv;voor/prep;vriendelijk/adj	ander/adj;doe/verb;klimaat/noun;land/noun;niets/noun;vriendelijk/adj;zorgelijk/adj	ander/adj;doe/verb;klimaat/noun;land/noun;niets/noun;vriendelijk/adj;zorgelijk/adj	ander/adj;doe/verb;klimaat/noun;land/noun;niets/noun;vriendelijk/adj;zorgelijk/adj	ander/adj;dat/det;de/det;doe/verb;een/det;klimaat/noun;land/noun;met/prep;niet/adv;niets/noun;ook/adv;voor/prep;vriendelijk/adj;zolang/adv;zorgelijk/adj	ander/adj;dat/det;de/det;doe/verb;een/det;klimaat/noun;land/noun;met/prep;niet/adv;niets/noun;ook/adv;voor/prep;vriendelijk/adj;zolang/adv;zorgelijk/adj	ander/adj;dat/det;de/det;doe/verb;een/det;klimaat/noun;land/noun;met/prep;niet/adv;niets/noun;ook/adv;voor/prep;vriendelijk/adj;zolang/adv;zorgelijk/adj	doe/verb;klimaat/noun;vriendelijk/adj	doe/verb;klimaat/noun;vriendelijk/adj	doe/verb;klimaat/noun;vriendelijk/adj	dat/det;doe/verb;een/det;klimaat/noun;met/prep;niet/adv;ook/adv;voor/prep;vriendelijk/adj	dat/det;doe/verb;een/det;klimaat/noun;met/prep;niet/adv;ook/adv;voor/prep;vriendelijk/adj	dat/det;doe/verb;een/det;klimaat/noun;met/prep;niet/adv;ook/adv;voor/prep;vriendelijk/adj
zwart/adj/algemeen_dagblad_20000703_135/272	begin/noun;eind/noun;gulden/noun;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;spektakel/noun;water/noun	begin/noun;eind/noun;gulden/noun;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;spektakel/noun;water/noun	begin/noun;eind/noun;gulden/noun;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;spektakel/noun;water/noun	begin/noun;eind/noun;gulden/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;op/prep;spektakel/noun;tot/prep;van/prep;water/noun	begin/noun;eind/noun;gulden/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;op/prep;spektakel/noun;tot/prep;van/prep;water/noun	begin/noun;eind/noun;gulden/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;op/prep;spektakel/noun;tot/prep;van/prep;water/noun	begin/noun;kabbel/adj;kleurrijk/adj;spektakel/noun;water/noun	begin/noun;kabbel/adj;kleurrijk/adj;spektakel/noun;water/noun	begin/noun;kabbel/adj;kleurrijk/adj;spektakel/noun;water/noun	begin/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;op/prep;spektakel/noun;van/prep;water/noun	begin/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;op/prep;spektakel/noun;van/prep;water/noun	begin/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;op/prep;spektakel/noun;van/prep;water/noun	begin/noun;eind/noun;gulden/noun;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;spektakel/noun;water/noun	begin/noun;eind/noun;gulden/noun;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;spektakel/noun;water/noun	begin/noun;eind/noun;gulden/noun;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;spektakel/noun;water/noun	begin/noun;eind/noun;gulden/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;op/prep;spektakel/noun;tot/prep;van/prep;water/noun	begin/noun;eind/noun;gulden/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;op/prep;spektakel/noun;tot/prep;van/prep;water/noun	begin/noun;eind/noun;gulden/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;kost/adj;miljoen/noun;minuut/noun;op/prep;spektakel/noun;tot/prep;van/prep;water/noun	begin/noun;kabbel/adj;kleurrijk/adj;spektakel/noun;water/noun	begin/noun;kabbel/adj;kleurrijk/adj;spektakel/noun;water/noun	begin/noun;kabbel/adj;kleurrijk/adj;spektakel/noun;water/noun	begin/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;op/prep;spektakel/noun;van/prep;water/noun	begin/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;op/prep;spektakel/noun;van/prep;water/noun	begin/noun;hen/pron;het/det;kabbel/adj;kleurrijk/adj;op/prep;spektakel/noun;van/prep;water/noun
