id	model.x	model.y	lemma	wf	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight_x100	wcratio_x100	weighted_cw
church/NN/br-a01/2073	-0.177779483669869	-0.285315689827714	church	church	NN	press_reportage	press	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	1	0	230	0	3
church/NN/br-a07/1303	0.0327353570172584	-0.14605597788377	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 Africa, the Middle East and Latin America. Interviews with several <font color=green>church</font>  leaders have disclosed that this development has raised the question	3	1	257	33	4
church/NN/br-a07/1325	0.314465234551641	-0.0148342342647744	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 the Peace Corps will be able to prevent confusion for <font color=green>church</font>  and state over methods, means and goals. There are a	4	2	240	50	2
church/NN/br-a07/1487	0.13751358136336	-0.280022763335347	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 projects and still preserve the constitutional requirement on separation of <font color=green>church</font>  and state? R. Sargent Shriver Jr., director of the corps	4	1	240	25	3
church/NN/br-a10/1754	0.293180796474392	-0.0698355439531528	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 one out of three Americans has vital contact with the <font color=green>church</font> . This means that more than 100 million have no vital	1	1	225	100	2
church/NN/br-a10/1769	0.177196683995869	-0.000934933465488411	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 more than 100 million have no vital touch with the <font color=green>church</font>  or religious life'', he told delegates Friday. Talking of the	3	1	240	33	3
church/NN/br-a10/1940	0.366459805605967	0.026301553677278	church	church	NN	press_reportage	press	A	A	AB	AB	Z	Z	Z	Z	Z	 this would necessitate some changes in methods, he said.`` The <font color=green>church</font>  's ability to change her methods is going to determine	1	0	258	0	2
church/NN/br-a16/453	-0.181014261127421	0.00139813382044706	church	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 a small one at noon tomorrow in St. Bernadine 's <font color=green>church</font> , Forest Park. A small reception will follow in the Oak	4	2	267	50	3
church/NN/br-a17/1636	-0.221298014519911	-0.0822788934764441	church	Church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 Gay, who were married Saturday at the Munger Place Methodist <font color=green>Church</font> . Parents of the bride are Mr. and Mrs. Ferris M.	4	3	255	75	3
church/NN/br-a17/1770	-0.220142059512197	-0.196053001556425	church	Church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 College of Technology, in the chapel of the First Presbyterian <font color=green>Church</font>  of Houston. The bride, daughter of Rhodes Semmes Baker Jr.	2	0	234	0	3
church/NN/br-a17/2228	-0.046258054607767	0.063069001024208	church	church	NN	press_reportage	press	D	D	DE	CDE	Z	Z	Z	Z	Z	 Burgher Jr. seated guests. A reception was held at the <font color=green>church</font> . The First Christian Church of Pampa was the setting for	5	2	326	40	5
