id	model.x	model.y	lemma	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	cues	cues_with_weight	mean_weight	weighted.cues_ratio	weighted_cw
church/NN/br-a01/2073	-0.144455046794089	-0.106742391240883	church	NN	press_reportage	press	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 said.`` Being at the polls was just like being at <font color=green>church</font> . I did n't smell a drop of liquor, and we	1	0	2.29875384298412	0	3
church/NN/br-d01/1628	-0.00893574498108574	-0.311069620243115	church	NN	religion	religion	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 age to whip men into a surrender to a particular <font color=green>church</font>  or church-state''. Apparently he does not intend that those who	3	1	2.83714093027039	0.333333333333333	2
church/NN/br-d02/1641	0.131141772380238	-0.02877066575597	church	NN	religion	religion	B	B	AB	AB	church%1:14:00::	B	B	AB	AB	 concerned to stand squarely within the tradition of the apostolic <font color=green>church</font> , they have exhibited no willingness whatever to sacrifice their modernity	2	1	2.83709208603536	0.5	3
church/NN/br-d02/706	0.0345558715448519	0.0730725179421715	church	NN	religion	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 there tends to be an almost complete indifference to the <font color=green>church</font>  and its traditional message of sin and grace. To be	4	2	2.59583043756589	0.5	4
church/NN/br-d02/786	-0.00643755071285787	-0.15397213149934	church	NN	religion	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 longer afford the luxury of such smug indignation? Can the <font color=green>church</font>  risk assuming that the`` folly'' of men is as dear	3	0	2.80427872843094	0	3
church/NN/br-d02/877	0.0256802538119432	0.0359757314329927	church	NN	religion	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 precarious? There is an ancient and venerable tradition in the <font color=green>church</font> ( which derives, however, from the heritage of the Greeks rather	4	3	2.56413187014748	0.75	3
church/NN/br-d02/923	0.402965475951801	-0.112177237613179	church	NN	religion	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 for accomplishing his work in the world. by analogy, the <font color=green>church</font>  also has been regarded as entirely independent of the`` world	3	0	3.13601370382024	0	1
church/NN/br-d02/949	0.184623504359869	-0.23808999741399	church	NN	religion	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 of requiring nothing from it in order to be the <font color=green>church</font> . But, as Scripture everywhere reminds us, God does have need	2	0	2.98716807622267	0	1
church/NN/br-d02/969	-0.0517963165838941	-0.155405055422513	church	NN	religion	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 us, God does have need of his creatures, and the <font color=green>church</font> , a fortiori, can ill afford to do without the talents	4	2	2.61597310831214	0.5	2
church/NN/br-d03/1080	0.176931861145849	0.0918816252255842	church	NN	religion	religion	E	E	DE	CDE	church%1:04:00::	E	E	DE	CDE	 phenomenon of redundancy is that fewer Protestants are going to <font color=green>church</font> . It should be admitted, too, that there is a good	2	1	2.28482574977355	0.5	2
church/NN/br-d03/1342	-0.0115018939121318	0.0913023781577923	church	NN	religion	religion	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 my experience to find as many men as women in <font color=green>church</font> , and to hear almost everyone in church congregations reciting the	5	2	2.95195484225548	0.4	3
church/NN/br-d03/1350	-0.00512948519793629	0.0305589187733868	church	NN	religion	religion	E	E	DE	CDE	church%1:06:00::	D	D	DE	CDE	 as women in church, and to hear almost everyone in <font color=green>church</font>  congregations reciting the Latin prayers and responses at Mass. They	5	4	2.81893035224512	0.8	7
church/NN/br-d03/1871	0.0423193087521131	0.0138269674960748	church	NN	religion	religion	B	B	AB	AB	catholic_church%1:14:00::	B1	B	AB	AB	 the Sunday Observer implies a kindly recognition that the Catholic <font color=green>Church</font>  is now at least of equal stature in England with	2	2	3.09803328542137	1	6
church/NN/br-d03/1909	-0.00432173157750646	0.00708249453788029	church	NN	religion	religion	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 non-Catholic) wrote articles in the Observer depicting clergymen of the <font color=green>Church</font>  of England, the Church of Rome and the Nonconformist Church	6	2	2.85615829924049	0.333333333333333	4
church/NN/br-d03/2097	0.0491672793320045	0.0093406514908819	church	NN	religion	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Canterbury. The good feeling which exists between these two important <font color=green>church</font>  figures is now well known in England. The Holy Sacrifice	4	0	2.48175667660213	0	2
church/NN/br-d03/2336	0.0305991679292516	0.0358687335942424	church	NN	religion	religion	D	D	DE	CDE	catholic_church%1:14:00::	B1	B	AB	AB	 a votive Mass offered for Christian unity at a Catholic <font color=green>church</font>  in Slough during the Church Unity Octave.	2	1	2.99059766646577	0.5	6
church/NN/br-d03/2341	0.0449588032302151	0.0477884694888688	church	NN	religion	religion	A	A	AB	AB	church%1:14:00::	B	B	AB	AB	 Christian unity at a Catholic church in Slough during the <font color=green>Church</font>  Unity Octave.	2	1	3.17197210239365	0.5	5
church/NN/br-d03/721	-0.0142875998135356	0.0460805221229765	church	NN	religion	religion	B	B	AB	AB	church%1:06:00::	D	D	DE	CDE	 crowds going in and out of the Birmingham Oratory( Catholic) <font color=green>Church</font>  on Sunday mornings. She found this a marvel because, as	1	0	2.78913174830542	0	3
church/NN/br-d03/862	0.0129515687321311	-0.0117275181841887	church	NN	religion	religion	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 to a newspaper report of the 1961 statistics of the <font color=green>Church</font>  of England, the`` total of confirmed members is 9748000, but	3	2	2.58260300513157	0.666666666666667	4
church/NN/br-d03/883	0.0228970931701672	-0.172619147346697	church	NN	religion	religion	C	C	C	CDE	church_roll%1:10:00::	C	C	C	CDE	 is 9748000, but only 2887671 are registered on the parochial <font color=green>church</font>  rolls'', and`` over 27 million people in England are baptized	4	3	2.546047912838	0.75	3
church/NN/br-d03/899	-0.0413646317127746	-0.0303180724132606	church	NN	religion	religion	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 over 27 million people in England are baptized into the <font color=green>Church</font>  of England, but roughly only a tenth of them continue	3	2	2.81517574053193	0.666666666666667	3
church/NN/br-d03/945	0.0158682006304768	0.0581149660184116	church	NN	religion	religion	B	B	AB	AB	church_of_england%1:14:00::	B2	B	AB	AB	 than an Archbishops' Commission`` reported last month that in the <font color=green>Church</font>  of England alone there are 790 churches which are redundant	1	0	2.72451058449298	0	2
church/NN/br-d04/56	0.0561513896842436	0.0429510519315061	church	NN	religion	religion	A	A	AB	AB	church_father%1:18:00::	A	A	AB	AB	 Jesus Christ the unique and the universal concur. Perhaps no <font color=green>church</font>  father saw this concurrence of the unique and the universal	4	5	2.47040112380858	1.25	5
church/NN/br-f15/713	0.0865761242536082	0.20891832114531	church	NN	popular_lore	others	B	B	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 permit birth control only for medical reasons. The Roman Catholic <font color=green>Church</font> , however, sanctions a much more liberal policy on family planning	5	2	3.87076524704997	0.4	2
church/NN/br-f15/754	0.048570741384588	0.0620906899028015	church	NN	popular_lore	others	B	B	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 disagree over the methods to be used. The Roman Catholic <font color=green>Church</font>  sanctions only abstention or the rhythm method, also known as	1	0	3.21005704088164	0	4
church/NN/br-f15/776	0.301909067592657	-0.104357408836473	church	NN	popular_lore	others	A	A	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 as the use of the infertile or safe period. The <font color=green>Church</font>  considers this to be the method provided by nature and	3	1	2.76828892369492	0.333333333333333	1
church/NN/br-f15/862	0.128505792872132	0.373793790443384	church	NN	popular_lore	others	A	A	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 there seems little chance of agreement. The grounds for the <font color=green>Church</font>  's position are Scriptural( Old Testament), the teachings of the	3	1	2.3771712639949	0.333333333333333	1
church/NN/br-f15/882	0.142529287938156	0.0869825183825958	church	NN	popular_lore	others	A	A	AB	AB	roman_catholic_church%1:14:00::	B1	B	AB	AB	 the teachings of the fathers and doctors of the early <font color=green>Church</font> , the unbroken tradition of nineteen centuries, the decisions of the	4	1	2.48060685124314	0.25	1
church/NN/br-f44/1076	0.06456843865444	0.0349801042904502	church	NN	popular_lore	others	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 and economic level of the congregation; the mission of the <font color=green>church</font>  is actually a process of informal co-optation; the lay ministry	5	2	2.87796569654453	0.4	3
church/NN/br-f44/1285	0.0723433656527679	-0.0384288196086452	church	NN	popular_lore	others	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 co-optation is the principal form of mission in the contemporary <font color=green>church</font> ; economic integration and co-optation are the two methods by which	3	1	2.89149761735479	0.333333333333333	2
church/NN/br-f44/1618	0.0734116988450436	-0.121235084415017	church	NN	popular_lore	others	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 in the metropolis. It now becomes evident that the denominational <font color=green>church</font>  is intimately involved with the economy of middle-class culture, for	5	1	2.30942087186894	0.2	2
church/NN/br-f44/2150	0.105869636468288	-0.0558108980051912	church	NN	popular_lore	others	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 will occupy our attention under the rubric of the organization <font color=green>church</font> . An understanding of the new role of residential association in	3	1	2.26309649185286	0.333333333333333	2
church/NN/br-f44/368	0.125466699228586	-0.0879184977705275	church	NN	popular_lore	others	C	C	C	CDE	church%1:14:00::	B	B	AB	AB	 they can lose higher- and lower status members from the <font color=green>church</font>  without collapsing, but they need adequate recruits for the core	3	1	2.81548636299412	0.333333333333333	2
