id	model.x	model.y	lemma	pos	genre	broad_genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text
country/NN/br-a06/106	-0.10836118089729	-0.0595448937069765	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 Westfield Young Democratic Club cocktail party at the Scotch Plains <font color=green>Country</font>  Club. It was greeted with a chorus of boos by
country/NN/br-a18/1123	-0.0463780237307454	-0.0569434306149842	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 exhibit and sale of paintings and sculpture at the Philmont <font color=green>Country</font>  Club on April 8 and 9. A preview party for
country/NN/br-a18/24	-0.076490138886549	-0.0173998143858295	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 of the Thrift Shop Committee for May 6 at Philmont <font color=green>Country</font>  Club. The women have a reputation for giving parties that
country/NN/br-a26/490	-0.0924116310724118	-0.120949344821565	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 price would be quoted regularly in newspapers all over the <font color=green>country</font> . He was also pleased with the wide distribution because he
country/NN/br-a29/2109	-0.11955496195977	-0.03475110286713	country	NN	press_reportage	press	A	A	A	A	Z	Z	Z	Z	Z	 The get-together Friday night will be a banquet at the <font color=green>country</font>  club patio and pool, and an orchestra will play for
country/NN/br-a30/1777	0.0193880452648901	-0.0968690723922575	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 Longinotti. Newcomers of social note from other parts of the <font color=green>country</font>  are the Ray Carbones, formerly of Panama; the Geddes MacGregors
country/NN/br-a30/392	-0.188253409986711	-0.06421337431949	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 Club, guests came by chartered plane from all over the <font color=green>country</font> . A flight originating in Florida picked up guests on the
country/NN/br-a33/399	-0.0201178706849296	0.0716863694745924	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 Regional representatives appointed to serve from each section of the <font color=green>country</font>  include Frank E. Barnes of Boston. President Kennedy could n't
country/NN/br-a41/1455	-0.182123671304711	0.119734276123714	country	NN	press_reportage	press	B1	B	B14	B	Z	Z	Z	Z	Z	 the thousands of Belgian civilians who had remained in the <font color=green>country</font> . The Belgian government decided to act, and on July 10
country/NN/br-b01/1784	-0.164293007379246	0.0145705156114248	country	NN	press_editorial	press	B2	B	B23	B	Z	Z	Z	Z	Z	 character. Tardily the Government here came to understand how this <font color=green>country</font>  's own reputation was tarnished by the association with repression
country/NN/br-b05/2202	-0.057121964691087	-0.145975424138848	country	NN	press_editorial	press	B3	B	B23	B	Z	Z	Z	Z	Z	 day. Then off to a remote place in an underdeveloped <font color=green>country</font>  where the diet, culture, language and living conditions will be
country/NN/br-b10/2098	0.24901845064205	0.190003095395076	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 in the past few years is still available in this <font color=green>country</font> . The work is executed in England( by hand) and can
country/NN/br-b16/284	0.0558495391533807	-0.0611258679914286	country	NN	press_editorial	press	B3	B	B23	B	Z	Z	Z	Z	Z	 in world peace, increased world trade, and prosperity for every <font color=green>country</font>  on the globe. Let us prepare for peace, instead of
country/NN/br-b18/873	0.0906767956590983	0.124626171777225	country	NN	press_editorial	press	B2	B	B23	B	Z	Z	Z	Z	Z	 did not include repeal of the Connally amendment to this <font color=green>country</font>  's domestic jurisdiction reservation to its Adherence to the Statute
country/NN/br-b27/1414	-0.109429897616123	-0.237973648989959	country	NN	press_editorial	press	B1	B	B14	B	Z	Z	Z	Z	Z	 in between. We had a couple of schools in this <font color=green>country</font> , the principal one being on the Marshall Field estate out
country/NN/br-b27/595	-0.0521966389264957	-0.298443020048769	country	NN	press_editorial	press	B4	B	B14	B	Z	Z	Z	Z	Z	 and personal opinion called yellow journalism which flourished in this <font color=green>country</font>  more than a generation ago. We do n't need this
country/NN/br-c01/621	0.062238858840454	0.168207680571262	country	NN	press_reviews	press	B1	B	B14	B	country%1:15:00::	B1	B	B1	B	 extraordinary, considers the finest house of its kind in the <font color=green>country</font> - and of course he does n't weep at the capacity
country/NN/br-c14/2215	-0.0924116310724118	-0.120949344821565	country	NN	press_reviews	press	B	B	B14	B	Z	Z	Z	Z	Z	 particular type of music or the music of a given <font color=green>country</font> . It is commendable that a regularly scheduled hour is set
country/NN/br-c15/2033	-0.32341327647147	-0.3649633999778	country	NN	press_reviews	press	A1	A	A	A	Z	Z	Z	Z	Z	 buoys in dozens of frostbite races. Some pleasant fall cruising <font color=green>country</font>  is mapped out below. Pleasure boating is just scooting into
country/NN/br-d03/249	-0.0944317263429749	0.340011691407586	country	NN	religion	religion	B4	B	B14	B	country%1:14:01::	B	B	BB2	B	 century literature of England, I knew only a Protestant dominated <font color=green>country</font> . Since arriving here, however, I have formed a far different
country/NN/br-d11/1770	0.131523735535259	0.161624808040686	country	NN	religion	religion	B1	B	B14	B	Z	Z	Z	Z	Z	 would far rather die after a Russian occupation of this <font color=green>country</font> - by some deliberate act of refusal- than die uselessly by
country/NN/br-d12/128	-0.0487820208909118	0.0680192168389501	country	NN	religion	religion	B4	B	B14	B	Z	Z	Z	Z	Z	 for the human aspirations of racial minority groups in this <font color=green>country</font> . It is not surprising that, as spokesman for real estate
country/NN/br-d14/772	0.0690896424485237	0.179722086596183	country	NN	religion	religion	B4	B	B14	B	Z	Z	Z	Z	Z	 the Protestantism of the nineteenth-century immigration. The ideals of the <font color=green>country</font>  were deeply indebted to the Protestantism of the older stock
