id	left	target	right
heet/adj/nrc_handelsblad_20010710_104/583	volle pot op zak , een man die toevallig Dreyfus	heet	", je zegt als Nixon 	 geef die pot maar"
heet/adj/nrc_handelsblad_20010301_35/13	iets van ijzer in de magnetron want het wordt gloeiend	heet	en kan zelfs doorbranden . Dat weet iedereen met een
heet/adj/nrc_handelsblad_20001020_146/160	het Srebrenica-scenario : zo snel mogelijk wegwezen als het te	heet	onder de voeten wordt , ongeacht de gevolgen voor de
heet/adj/nrc_handelsblad_20020227_122/90	regisseur Ulrich Seidl ook in Hundstage ( genoemd naar de	heetste	dagen van het jaar ) documentair materiaal met nagespeelde scènes
heet/adj/nrc_handelsblad_20010105_146/259	van een centimeter dik snijden en vervolgens knapperig bakken in	hete	boterolie . Op het laatst toegevoegd : gehakte knoflook ,
heet/adj/nrc_handelsblad_20030522_61/10	McNamara noemt onder meer de Koude Oorlog veel `	heter	' dan iedereen destijds dacht : de les dat rationaliteit
heet/adj/nrc_handelsblad_20000407_119/11	In de namiddag van 11 mei 1998 begon de gloeiend	hete	woestijn bij het dorpje Pokharan in de Indiase deelstaat Rajasthan
heet/adj/nrc_handelsblad_20011005_47/623	toe leken de Kamerleden betrekkelijk tevreden over zichzelf . Het	hete	hangijzer van Bin Laden was in dit overleg echter buiten
heet/adj/nrc_handelsblad_20020216_156/303	van het regentschap Pidie , dalen we af naar de	hete	vlakte . Sigli , de belangrijkste stad van Pidie ,
heet/adj/nrc_handelsblad_20010615_43/321	de hoofdstad te sturen . Het zijn voorproefjes van de	hete	verkiezingsstrijd die de Berlijners te wachten staat , want op
heet/adj/nrc_handelsblad_20000331_143/678	uitgeput in Toi-yuan-foe aan . 's Zomers was het er	heet	, 's winters vroor het soms dertig graden . De
heet/adj/nrc_handelsblad_19990415_19/48	Maarten den Bakker verlangde naar een warme vrouw in een	heet	bad . Met een vetpercentage van 6 was hij redelijk
heet/adj/nrc_handelsblad_19991001_49/66	. De editie van dit jaar - de zesde -	heet	Wonderland , de vorige heette The Garden of Eden ,
heet/adj/nrc_handelsblad_20000623_144/380	zullen dit bedrag op tafel leggen . Het ideologisch zo	hete	vraagstuk op het recht op terugkeer van Palestijnse vluchtelingen wordt
heet/adj/nrc_handelsblad_20001116_178/439	de Solfatara , een oude kraterbodem waaruit nog steeds gloeiend	hete	wolken opstijgen . De stenen zijn geel van de zwavel
heet/adj/nrc_handelsblad_19991106_87/128	eerste boeren- en arbeidersrepubliek op Duits grondgebied ' . De	hete	adem van de wereldrevolutie woei om hun oren . Ze
heet/adj/nrc_handelsblad_20020125_81/156	, kronkelde een dag later voor de BBC-radio rond dezelfde	hete	brij . Rowan Williams , de bisschop van Wales en
heet/adj/nrc_handelsblad_19991120_58/570	De bodem van een metalen pan is altijd een stuk	heter	dan de vloeistof die hij bevat . Daardoor bakt hij
heet/adj/nrc_handelsblad_20030811_03/206	ik hier buiten beschouwing , net als het verband tussen	hete	zomeravonden en seks ; er zijn mensen die er op
heet/adj/nrc_handelsblad_20010830_36/754	kok neemt daarmee risico's . Juist smaakelementen als zoet en	heet	kunnen gemakkelijk overheersen . Hij balanceert soms op een dun
heet/adj/nrc_handelsblad_20001108_28/107	"	 revanchegevoelens 	 bij de tegenstander . Het belooft een"	hete	voetbalavond te worden . Het thuispubliek werd gisteren nog eens
heet/adj/nrc_handelsblad_19991215_40/683	( voeding , persoonlijke verzorging ) gepoogd wordt door een	hete	brei in een vergadering te breken . Is het typisch
heet/adj/nrc_handelsblad_20000217_91/871	is er doorgaans de man niet naar die om de	hete	brij heendraait . In die periode gold Schäuble in de
