id	model.x	model.y	lemma	pos	sensekey	marisense	mbroad	wnbroad	text
church/NN/br-a01/2073	-0.000166867789639823	-0.00886962442326047	church	NN	church%1:04:00::	E	E	D	 <font color="green"></font> 
church/NN/br-a07/1303	-0.000172334571104309	-0.00886436436266239	church	NN	NA	A	A	NA	 <font color="green"></font> 
church/NN/br-a07/1325	-0.000178419102441887	-0.00886564252679367	church	NN	NA	A	A	NA	 <font color="green"></font> 
church/NN/br-a07/1487	-0.000168927374539912	-0.00886025246680664	church	NN	NA	A	A	NA	 <font color="green"></font> 
church/NN/br-a10/1754	-0.000181791952009127	-0.00887023540820859	church	NN	NA	A	A	NA	 <font color="green"></font> 
church/NN/br-a10/1769	-0.000172853669274343	-0.00886847120567332	church	NN	NA	A	A	NA	 <font color="green"></font> 
church/NN/br-a10/1850	-0.00016559853699012	-0.00885536348481294	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-a10/1940	-0.000179819966082688	-0.00886791754442293	church	NN	NA	A	A	NA	 <font color="green"></font> 
church/NN/br-a16/453	-0.000169445853450262	-0.00886326166234589	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a17/1636	-0.000166910294712368	-0.00886681327202746	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a17/1770	-0.000172529443698817	-0.0088626555863015	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a17/2228	-0.000169099481353484	-0.00886393131879349	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a17/2233	-0.000173612286948679	-0.00885777183660709	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a21/677	-0.000172614952727993	-0.00886422263636728	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a22/1206	-0.000173362368167115	-0.00886999908367302	church	NN	NA	B	B	NA	 <font color="green"></font> 
church/NN/br-a22/1283	-0.000176080132244442	-0.00885956943666879	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-a22/307	-0.000181949832246069	-0.00886149232106517	church	NN	NA	B	B	NA	 <font color="green"></font> 
church/NN/br-a22/310	-0.000171924095351406	-0.00885799455221322	church	NN	NA	A	A	NA	 <font color="green"></font> 
church/NN/br-a31/1395	-0.000175574978908369	-0.00886236884153421	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a31/1542	-0.000168873429808913	-0.00886494686258894	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-a31/1842	-0.000164191640884142	-0.0088685252842565	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a31/2087	-0.000170933568911947	-0.0088584591854508	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a31/2112	-0.000168596543711531	-0.00885975738483147	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a31/2120	-0.000182465783431271	-0.0088622809749746	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-a31/2172	-0.000170405974619053	-0.00886262940622646	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-a31/2212	-0.000173155415106059	-0.00885893128102941	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-a31/2241	-0.000181163368651966	-0.00886515094228911	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-a31/2280	-0.000169188106088059	-0.00886595167805895	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-b08/1866	-0.000179610885884804	-0.00886755952060675	church	NN	NA	D	D	NA	 <font color="green"></font> 
church/NN/br-b08/1871	-0.000168458913440998	-0.00887405999429427	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-b08/1912	-0.000168825665098967	-0.00886242775106249	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-b08/2063	-0.000174073453458461	-0.00887463123971168	church	NN	NA	C	C	NA	 <font color="green"></font> 
church/NN/br-b08/2245	-0.000173266274293263	-0.00886465349339441	church	NN	NA	E	E	NA	 <font color="green"></font> 
church/NN/br-b08/2363	-0.000170826742132373	-0.00886559581970404	church	NN	NA	D	D	NA	 <font color="green"></font> 
