model	model.x	model.y	compounds	tokleft	tokright	tokpos	sentbound	weight	mincws	socccorpus	socclength	soccleft	soccright	stress	tokens	socclength_group
nocomp.10_10_nvj_bound.noweight.1.c.10k_all.10_10	-0.2712516314466673	-0.26072933721849034	nocomp	10	10	nvj	bound	noweight	1	c	10k	10	10	0.234224257755321	249	10k
nocomp.10_10_nvj_bound.noweight.1.c.10k_all.5_5	-0.2933187475964366	-0.2483188453013007	nocomp	10	10	nvj	bound	noweight	1	c	10k	5	5	0.247289458997585	249	10k
nocomp.10_10_nvj_bound.noweight.1.c.5k_all.10_10	-0.20291265104936	-0.13188593033967788	nocomp	10	10	nvj	bound	noweight	1	c	5k	10	10	0.220641786548927	249	5k
nocomp.10_10_nvj_bound.noweight.1.c.5k_all.5_5	-0.18628043896617566	-0.08908945361483894	nocomp	10	10	nvj	bound	noweight	1	c	5k	5	5	0.244057071001561	249	5k
nocomp.10_10_nvj_bound.noweight.1.s.10k_all.10_10	-0.23201417570335583	0.08962013306310875	nocomp	10	10	nvj	bound	noweight	1	s	10k	10	10	0.252979877712099	249	10k
nocomp.10_10_nvj_bound.noweight.1.s.10k_all.5_5	-0.2713160482595187	0.13748502502830895	nocomp	10	10	nvj	bound	noweight	1	s	10k	5	5	0.260067810687215	249	10k
nocomp.10_10_nvj_bound.noweight.1.s.5k_all.10_10	-0.22832170040979438	0.07064168593992895	nocomp	10	10	nvj	bound	noweight	1	s	5k	10	10	0.245583987265041	249	5k
nocomp.10_10_nvj_bound.noweight.1.s.5k_all.5_5	-0.2259138656857005	0.0937773375395031	nocomp	10	10	nvj	bound	noweight	1	s	5k	5	5	0.257769901581539	249	5k
nocomp.10_10_nvj_bound.noweight.2.c.10k_all.10_10	-0.27125163107155975	-0.26072934550496557	nocomp	10	10	nvj	bound	noweight	2	c	10k	10	10	0.234224257755321	249	10k
nocomp.10_10_nvj_bound.noweight.2.c.10k_all.5_5	-0.2897692279699712	-0.2689996989089708	nocomp	10	10	nvj	bound	noweight	2	c	10k	5	5	0.247540622073434	249	10k
nocomp.10_10_nvj_bound.noweight.2.c.5k_all.10_10	-0.22089687744664804	-0.16870442527948856	nocomp	10	10	nvj	bound	noweight	2	c	5k	10	10	0.221515828395679	249	5k
nocomp.10_10_nvj_bound.noweight.2.c.5k_all.5_5	-0.21194769121330703	-0.10568596081746383	nocomp	10	10	nvj	bound	noweight	2	c	5k	5	5	0.243063094672583	249	5k
nocomp.10_10_nvj_bound.noweight.2.s.10k_all.10_10	-0.2562173784126858	0.09910781366516906	nocomp	10	10	nvj	bound	noweight	2	s	10k	10	10	0.252761285706503	249	10k
nocomp.10_10_nvj_bound.noweight.2.s.10k_all.5_5	-0.2753642205262413	0.16318663560208144	nocomp	10	10	nvj	bound	noweight	2	s	10k	5	5	0.260981450706554	249	10k
nocomp.10_10_nvj_bound.noweight.2.s.5k_all.10_10	-0.2245313673970887	0.05654120461579779	nocomp	10	10	nvj	bound	noweight	2	s	5k	10	10	0.245870228795307	249	5k
nocomp.10_10_nvj_bound.noweight.2.s.5k_all.5_5	-0.2508227018951693	0.10682704448723467	nocomp	10	10	nvj	bound	noweight	2	s	5k	5	5	0.25800726802746	249	5k
