_id	c.model1_semcw.10k_all.10_10.x.x	c.model1_semcw.10k_all.10_10.y.x	c.model1_semcw.10k_all.5_5.x.x	c.model1_semcw.10k_all.5_5.y.x	c.model1_semcw.10k_dvnj.10_10.x.x	c.model1_semcw.10k_dvnj.10_10.y.x	c.model1_semcw.10k_dvnj.5_5.x.x	c.model1_semcw.10k_dvnj.5_5.y.x	s.model1_semcw.10k_all.10_10.x.x	s.model1_semcw.10k_all.10_10.y.x	s.model1_semcw.10k_all.5_5.x.x	s.model1_semcw.10k_all.5_5.y.x	s.model1_semcw.10k_dvnj.10_10.x.x	s.model1_semcw.10k_dvnj.10_10.y.x	s.model1_semcw.10k_dvnj.5_5.x.x	s.model1_semcw.10k_dvnj.5_5.y.x	c.model1_semcw.10k_all.10_10.x.y	c.model1_semcw.10k_all.10_10.y.y	c.model1_semcw.10k_all.5_5.x.y	c.model1_semcw.10k_all.5_5.y.y	c.model1_semcw.10k_dvnj.10_10.x.y	c.model1_semcw.10k_dvnj.10_10.y.y	c.model1_semcw.10k_dvnj.5_5.x.y	c.model1_semcw.10k_dvnj.5_5.y.y	s.model1_semcw.10k_all.10_10.x.y	s.model1_semcw.10k_all.10_10.y.y	s.model1_semcw.10k_all.5_5.x.y	s.model1_semcw.10k_all.5_5.y.y	s.model1_semcw.10k_dvnj.10_10.x.y	s.model1_semcw.10k_dvnj.10_10.y.y	s.model1_semcw.10k_dvnj.5_5.x.y	s.model1_semcw.10k_dvnj.5_5.y.y
a/D	-0.0441752704351773	0.00397343111083727	-0.0423914139954103	-0.0224392054601725	-0.0417298791314377	0.00821161573450485	-0.0373506174638582	-0.0121302684171619	-0.154591724091174	-0.0405346349910647	0.394849856657211	-0.0713465241698717	-0.148251358379879	-0.0386511803558391	0.388021222483754	-0.0744070410638052	-0.0467014856147064	-0.00483246413116185	-0.0423914139954103	-0.0224392054601725	-0.0426755481104535	0.00813478211411966	-0.0373506174638582	-0.0121302684171619	-0.153280006290172	-0.0436429367160113	0.394849856657211	-0.0713465241698717	-0.148251358379879	-0.0386511803558391	0.388021222483754	-0.0744070410638052
a/J	0.3222918099193	-0.0402433300636344	0.287800712494572	-0.298807807031951	0.235446186753557	-0.239315098242874	0.248971025734592	-0.244561756339258	-0.195926224489642	-0.048139174800188	0.298090141083101	-0.026881918836815	-0.185758572275892	-0.0482683088811485	0.291321821408609	-0.0228458019114873	0.274217459873181	-0.216956664270605	0.287800712494572	-0.298807807031951	0.305166624754536	-0.142166460296292	0.248971025734592	-0.244561756339258	-0.191095573133385	-0.0534233433821212	0.298090141083101	-0.026881918836815	-0.185758572275892	-0.0482683088811485	0.291321821408609	-0.0228458019114873
a/N	-0.0306017943122041	0.0112318250985441	-0.0385697921351436	-0.0166180635542281	-0.0308909706152626	0.00693120678031519	-0.0361684287682109	-0.0125495649181583	-0.31201300815391	0.0121076183330528	0.170331983269158	-0.169132517095582	-0.316450214486158	0.0128178142001631	0.180904114440452	-0.185652998366408	-0.0316926509367199	-0.00113062841268796	-0.0385697921351436	-0.0166180635542281	-0.0312338763782773	0.0100299736020299	-0.0361684287682109	-0.0125495649181583	-0.308693055148978	-0.00213112453183311	0.170331983269158	-0.169132517095582	-0.316450214486158	0.0128178142001631	0.180904114440452	-0.185652998366408
ability/N	0.0371329320053415	-0.000786629935426348	0.0375191417480644	-0.0830773414575784	0.0165480787106856	-0.0494196123606925	0.0211783177722354	-0.0754617528265797	-0.209309777448197	0.198067109354925	0.108070061754343	0.284319399404131	-0.212731951396824	0.212869801408521	0.107628611239146	0.296568475785676	0.0285367697789487	-0.0523099934845124	0.0375191417480644	-0.0830773414575784	0.0298077995860318	-0.0276689797692752	0.0211783177722354	-0.0754617528265797	-0.199162363357196	0.198058198383016	0.108070061754343	0.284319399404131	-0.212731951396824	0.212869801408521	0.107628611239146	0.296568475785676
able/J	-0.0112848811642122	0.00202801951322541	-0.0228478672007598	-0.0651580348739753	-0.0234431917009493	-0.0210633529062514	-0.033870987922732	-0.0517551265617384	-0.188204957388111	0.0495629524735946	0.260439465295122	0.148332559975322	-0.203417467037403	0.0759317813345171	0.290441874823707	0.174281184182501	-0.01361545917056	-0.0381478394516774	-0.0228478672007598	-0.0651580348739753	-0.019430628834895	-0.00678969026889042	-0.033870987922732	-0.0517551265617384	-0.18533783960719	0.0480040212232092	0.260439465295122	0.148332559975322	-0.203417467037403	0.0759317813345171	0.290441874823707	0.174281184182501
accusation/N	0.119784339833497	-0.0291544775181154	0.0666285644901907	-0.189497833781903	0.0924352797434341	-0.101019696301905	0.0542803577040979	-0.163382142798929	0.396541243760321	-0.126206495476738	-0.370597324988813	0.0035614833907276	0.372760588550567	-0.194639103290615	-0.376752622792442	-0.0641732003814932	0.0603523292887779	-0.13273039411556	0.0666285644901907	-0.189497833781903	0.127000501116191	-0.0413673418215608	0.0542803577040979	-0.163382142798929	0.409292056429049	0.16168511997219	-0.370597324988813	0.0035614833907276	0.372760588550567	-0.194639103290615	-0.376752622792442	-0.0641732003814932
active/J	0.0336759614644066	0.0267658144436838	0.0483607446225472	-0.0166752650211977	0.0402783732335423	-0.0212146157233097	0.0436987934568498	-0.018922478990483	-0.0680117590950748	0.190712770340965	0.0144452710020173	0.139850870619304	-0.0749749840715046	0.197466932783085	0.0228041210610534	0.153927832519446	0.0394655364148878	-0.00533564047702385	0.0483607446225472	-0.0166752650211977	0.0461772945755677	-0.00112488278514273	0.0436987934568498	-0.018922478990483	-0.0409878299033878	0.174540289058476	0.0144452710020173	0.139850870619304	-0.0749749840715046	0.197466932783085	0.0228041210610534	0.153927832519446
activity/N	0.0294929164528847	0.0184806544258192	0.0347023570874283	-0.0425406188050487	0.0227160395467129	-0.0247161447304192	0.0206260263243561	-0.0450489031314599	-0.143326048544796	0.134935886821892	0.152174613759042	0.197301392350496	-0.118241374446369	0.135858660172251	0.135493845831297	0.200462614977099	0.0318090519304612	-0.0224250300880168	0.0347023570874283	-0.0425406188050487	0.0291715825040757	-0.000320220335201008	0.0206260263243561	-0.0450489031314599	-0.138726376487678	0.128315435453556	0.152174613759042	0.197301392350496	-0.118241374446369	0.135858660172251	0.135493845831297	0.200462614977099
admission/N	0.0495173126345764	0.0526986671462669	0.0907603999180071	0.0154653989856905	0.0696286790714612	0.00466025564828435	0.0841769608372955	-0.00772488684058518	-0.0974501732243222	0.354248910144859	-0.0735322526287802	0.323511853134912	-0.0957906335022409	0.356966253543226	-0.144037694962556	0.201152122043965	0.0620197759116319	0.020728676572475	0.0907603999180071	0.0154653989856905	0.0660331369792181	0.0371819531219731	0.0841769608372955	-0.00772488684058518	-0.0917503729559354	0.348425978978623	-0.0735322526287802	0.323511853134912	-0.0957906335022409	0.356966253543226	-0.144037694962556	0.201152122043965
adult/N	0.00748688938595752	0.0493230643990757	0.0156346827254376	-0.109755986602814	-0.0100098680086701	-0.0721884215344112	-0.00180172102756125	-0.101532652725496	-0.0162884234053901	0.2459085866208	-0.124734870526567	0.0691774356026398	-0.0399051027500495	0.273219097891578	-0.134413359225733	0.139827823622838	0.00930219270172537	-0.0720112590815753	0.0156346827254376	-0.109755986602814	0.00779578347688665	-0.0616189302524486	-0.00180172102756125	-0.101532652725496	0.0467682169548267	0.184963258191548	-0.124734870526567	0.0691774356026398	-0.0399051027500495	0.273219097891578	-0.134413359225733	0.139827823622838
